date,product_id,product_category,stock_level,safety_stock,reorder_point,max_stock,unit_cost,carrying_cost_percent,demand_variance,supplier_id,inventory_value,carrying_cost,stockout_risk,overstock_risk
2024-09-03,PROD_0033,Consumer_Goods,1031,154,309,1855,94.78,0.189,0.171,SUP_0190,97718.18000000001,18468.73602,0,0
2024-09-03,PROD_0034,Consumer_Goods,87,13,26,156,120.93,0.193,0.153,SUP_0135,10520.91,2030.53563,0,0
2024-09-03,PROD_0035,Electronics,469,70,140,844,39.35,0.252,0.416,SUP_0134,18455.15,4650.697800000001,0,0
2024-09-03,PROD_0036,Industrial,743,111,222,1337,136.67,0.16,0.392,SUP_0061,101545.81,16247.3296,0,0
2024-09-03,PROD_0037,Consumer_Goods,298,44,89,536,141.22,0.276,0.433,SUP_0038,42083.56,11615.06256,0,0
2024-09-03,PROD_0038,Automotive,763,114,228,1373,22.82,0.302,0.248,SUP_0016,17411.66,5258.32132,0,0
2024-09-03,PROD_0039,Healthcare,288,43,86,518,160.04,0.184,0.164,SUP_0181,46091.52,8480.83968,0,0
2024-09-03,PROD_0040,Industrial,360,54,108,648,135.2,0.219,0.324,SUP_0007,48671.99999999999,10659.167999999998,0,0
2024-09-03,PROD_0041,Healthcare,495,74,148,891,122.38,0.334,0.217,SUP_0053,60578.1,20233.0854,0,0
2024-09-03,PROD_0042,Industrial,322,48,96,579,174.2,0.245,0.304,SUP_0086,56092.399999999994,13742.637999999999,0,0
2024-09-03,PROD_0043,Consumer_Goods,826,123,247,1486,193.46,0.202,0.122,SUP_0112,159797.96000000002,32279.187920000008,0,0
2024-09-03,PROD_0044,Consumer_Goods,176,26,52,316,78.0,0.348,0.154,SUP_0013,13728.0,4777.344,0,0
2024-09-03,PROD_0045,Consumer_Goods,749,112,224,1348,134.42,0.15,0.157,SUP_0069,100680.57999999999,15102.086999999998,0,0
2024-09-03,PROD_0046,Industrial,1178,176,353,2120,165.25,0.269,0.171,SUP_0137,194664.5,52364.7505,0,0
2024-09-03,PROD_0047,Consumer_Goods,794,119,238,1429,20.29,0.222,0.16,SUP_0061,16110.26,3576.4777200000003,0,0
2024-09-03,PROD_0048,Automotive,986,147,295,1774,60.16,0.302,0.255,SUP_0020,59317.759999999995,17913.963519999998,0,0
2024-09-03,PROD_0049,Electronics,872,130,261,1569,79.02,0.314,0.403,SUP_0038,68905.44,21636.30816,0,0
2024-09-03,PROD_0050,Industrial,576,86,172,1036,193.79,0.336,0.428,SUP_0087,111623.04,37505.341440000004,0,0
2024-09-03,PROD_0051,Consumer_Goods,746,111,223,1342,192.18,0.329,0.311,SUP_0131,143366.28,47167.50612,0,0
2024-09-03,PROD_0052,Consumer_Goods,1136,170,340,2044,44.2,0.338,0.183,SUP_0029,50211.200000000004,16971.3856,0,0
2024-09-03,PROD_0053,Healthcare,242,36,72,435,71.13,0.25,0.211,SUP_0200,17213.46,4303.365,0,0
2024-09-03,PROD_0054,Industrial,577,86,173,1038,48.11,0.229,0.327,SUP_0047,27759.47,6356.91863,0,0
2024-09-03,PROD_0055,Industrial,1103,165,330,1985,175.08,0.186,0.355,SUP_0197,193113.24000000002,35919.062640000004,0,0
2024-09-03,PROD_0056,Automotive,866,129,259,1558,173.61,0.3,0.107,SUP_0191,150346.26,45103.878000000004,0,0
2024-09-03,PROD_0057,Healthcare,361,54,108,649,152.85,0.273,0.109,SUP_0032,55178.85,15063.826050000001,0,0
2024-09-03,PROD_0058,Healthcare,1019,152,305,1834,16.18,0.283,0.354,SUP_0114,16487.42,4665.9398599999995,0,0
2024-09-03,PROD_0059,Automotive,705,105,211,1269,48.39,0.23,0.382,SUP_0008,34114.95,7846.438499999999,0,0
2024-09-03,PROD_0060,Electronics,638,95,191,1148,42.35,0.346,0.167,SUP_0100,27019.3,9348.6778,0,0
2024-09-03,PROD_0061,Industrial,97,14,29,174,68.03,0.301,0.314,SUP_0128,6598.91,1986.27191,0,0
2024-09-03,PROD_0062,Industrial,275,41,82,495,90.8,0.213,0.291,SUP_0081,24970.0,5318.61,0,0
2024-09-03,PROD_0063,Healthcare,456,68,136,820,149.71,0.34,0.117,SUP_0016,68267.76000000001,23211.038400000005,0,0
2024-09-03,PROD_0064,Healthcare,791,118,237,1423,190.01,0.184,0.219,SUP_0084,150297.91,27654.81544,0,0
2024-09-03,PROD_0065,Consumer_Goods,1366,204,409,2458,179.28,0.244,0.132,SUP_0102,244896.48,59754.74112,0,0
2024-09-03,PROD_0066,Automotive,532,79,159,957,107.12,0.257,0.405,SUP_0072,56987.840000000004,14645.874880000001,0,0
2024-09-03,PROD_0067,Electronics,931,139,279,1675,18.02,0.344,0.125,SUP_0198,16776.62,5771.157279999999,0,0
2024-09-03,PROD_0068,Consumer_Goods,794,119,238,1429,122.33,0.234,0.243,SUP_0102,97130.02,22728.424680000004,0,0
2024-09-03,PROD_0069,Electronics,846,126,253,1522,54.83,0.312,0.198,SUP_0093,46386.18,14472.48816,0,0
2024-09-03,PROD_0070,Electronics,1314,197,394,2365,176.09,0.303,0.362,SUP_0177,231382.26,70108.82478,0,0
2024-09-03,PROD_0071,Healthcare,141,21,42,253,23.6,0.319,0.256,SUP_0167,3327.6000000000004,1061.5044,0,0
2024-09-03,PROD_0072,Electronics,280,42,84,504,18.57,0.226,0.307,SUP_0070,5199.6,1175.1096000000002,0,0
2024-09-03,PROD_0073,Industrial,293,43,87,527,182.31,0.219,0.15,SUP_0180,53416.83,11698.28577,0,0
2024-09-03,PROD_0074,Automotive,501,75,150,901,196.59,0.311,0.216,SUP_0173,98491.59,30630.88449,0,0
2024-09-03,PROD_0075,Industrial,382,57,114,687,117.73,0.167,0.23,SUP_0146,44972.86,7510.46762,0,0
2024-09-03,PROD_0076,Industrial,1076,161,322,1936,146.92,0.209,0.25,SUP_0116,158085.91999999998,33039.957279999995,0,0
2024-09-03,PROD_0077,Electronics,813,121,243,1463,147.79,0.31,0.399,SUP_0198,120153.26999999999,37247.513699999996,0,0
2024-09-03,PROD_0078,Healthcare,769,115,230,1384,74.17,0.255,0.365,SUP_0076,57036.73,14544.366150000002,0,0
2024-09-03,PROD_0079,Electronics,185,27,55,333,83.63,0.35,0.289,SUP_0019,15471.55,5415.0425,0,0
2024-09-03,PROD_0080,Automotive,161,24,48,289,185.41,0.329,0.224,SUP_0103,29851.01,9820.98229,0,0
2024-09-03,PROD_0081,Automotive,869,130,260,1564,18.53,0.279,0.291,SUP_0069,16102.570000000002,4492.617030000001,0,0
2024-09-03,PROD_0082,Healthcare,978,146,293,1760,67.12,0.189,0.248,SUP_0124,65643.36,12406.59504,0,0
2024-09-03,PROD_0083,Industrial,319,47,95,574,94.6,0.174,0.411,SUP_0005,30177.399999999998,5250.8676,0,0
2024-09-03,PROD_0084,Healthcare,964,144,289,1735,86.64,0.202,0.361,SUP_0128,83520.96,16871.233920000002,0,0
2024-09-03,PROD_0085,Automotive,124,18,37,223,26.11,0.186,0.256,SUP_0023,3237.64,602.2010399999999,0,0
2024-09-03,PROD_0086,Electronics,1052,157,315,1893,139.53,0.17,0.333,SUP_0092,146785.56,24953.5452,0,0
2024-09-03,PROD_0087,Consumer_Goods,626,93,187,1126,199.96,0.253,0.444,SUP_0189,125174.96,31669.264880000002,0,0
2024-09-03,PROD_0088,Industrial,546,81,163,982,50.45,0.277,0.17,SUP_0017,27545.7,7630.158900000001,0,0
2024-09-03,PROD_0089,Automotive,1125,168,337,2025,107.81,0.349,0.292,SUP_0075,121286.25,42328.901249999995,0,0
2024-09-03,PROD_0090,Consumer_Goods,877,131,263,1578,184.21,0.289,0.365,SUP_0181,161552.17,46688.57713,0,0
2024-09-03,PROD_0091,Healthcare,106,15,31,190,153.38,0.332,0.388,SUP_0192,16258.279999999999,5397.74896,0,0
2024-09-03,PROD_0092,Automotive,435,65,130,783,61.75,0.239,0.331,SUP_0078,26861.25,6419.83875,0,0
2024-09-03,PROD_0093,Healthcare,244,36,73,439,52.22,0.192,0.284,SUP_0075,12741.68,2446.40256,0,0
2024-09-03,PROD_0094,Automotive,350,52,105,630,127.99,0.244,0.251,SUP_0123,44796.5,10930.346,0,0
2024-09-03,PROD_0095,Consumer_Goods,1507,226,452,2712,53.13,0.261,0.244,SUP_0005,80066.91,20897.46351,0,0
2024-09-03,PROD_0096,Automotive,716,107,214,1288,93.64,0.297,0.246,SUP_0060,67046.24,19912.73328,0,0
2024-09-03,PROD_0097,Automotive,1230,184,369,2214,190.37,0.235,0.24,SUP_0187,234155.1,55026.4485,0,0
2024-09-03,PROD_0098,Automotive,257,38,77,462,139.14,0.302,0.366,SUP_0050,35758.979999999996,10799.211959999999,0,0
2024-09-03,PROD_0099,Electronics,772,115,231,1389,172.56,0.16,0.372,SUP_0041,133216.32,21314.611200000003,0,0
2024-09-03,PROD_0100,Healthcare,525,78,157,945,135.7,0.193,0.132,SUP_0005,71242.5,13749.8025,0,0
2024-09-04,PROD_0001,Automotive,962,144,288,1731,104.92,0.152,0.296,SUP_0200,100933.04000000001,15341.822080000002,0,0
2024-09-04,PROD_0002,Industrial,889,133,266,1600,110.24,0.278,0.178,SUP_0158,98003.36,27244.934080000003,0,0
2024-09-04,PROD_0003,Automotive,1594,239,478,2869,40.31,0.344,0.108,SUP_0083,64254.14000000001,22103.424160000002,0,0
2024-09-04,PROD_0004,Automotive,1291,193,387,2323,195.4,0.226,0.282,SUP_0102,252261.4,57011.0764,0,0
2024-09-04,PROD_0005,Electronics,604,90,181,1087,123.77,0.169,0.147,SUP_0036,74757.08,12633.946520000001,0,0
2024-09-04,PROD_0006,Consumer_Goods,939,140,281,1690,195.63,0.327,0.41,SUP_0041,183696.57,60068.77839000001,0,0
2024-09-04,PROD_0007,Industrial,571,85,171,1027,81.24,0.306,0.119,SUP_0034,46388.03999999999,14194.740239999997,0,0
2024-09-04,PROD_0008,Electronics,907,136,272,1632,78.55,0.208,0.302,SUP_0178,71244.84999999999,14818.928799999998,0,0
2024-09-04,PROD_0009,Automotive,1508,226,452,2714,199.11,0.331,0.35,SUP_0089,300257.88,99385.35828,0,0
2024-09-04,PROD_0010,Consumer_Goods,863,129,258,1553,68.85,0.317,0.213,SUP_0111,59417.549999999996,18835.36335,0,0
2024-09-04,PROD_0011,Consumer_Goods,228,34,68,410,83.74,0.235,0.178,SUP_0171,19092.719999999998,4486.789199999999,0,0
2024-09-04,PROD_0012,Consumer_Goods,1207,181,362,2172,111.01,0.223,0.358,SUP_0186,133989.07,29879.56261,0,0
2024-09-04,PROD_0013,Automotive,414,62,124,745,34.53,0.217,0.259,SUP_0018,14295.42,3102.10614,0,0
2024-09-04,PROD_0014,Industrial,365,54,109,657,64.63,0.227,0.201,SUP_0156,23589.949999999997,5354.91865,0,0
2024-09-04,PROD_0015,Healthcare,201,30,60,361,164.39,0.235,0.189,SUP_0092,33042.39,7764.961649999999,0,0
2024-09-04,PROD_0016,Automotive,1267,190,380,2280,91.87,0.197,0.237,SUP_0139,116399.29000000001,22930.660130000004,0,0
2024-09-04,PROD_0017,Industrial,155,23,46,279,65.67,0.31,0.101,SUP_0086,10178.85,3155.4435000000003,0,0
2024-09-04,PROD_0018,Electronics,1068,160,320,1922,88.25,0.201,0.337,SUP_0089,94251.0,18944.451,0,0
2024-09-04,PROD_0019,Electronics,607,91,182,1092,199.84,0.261,0.17,SUP_0166,121302.88,31660.051680000004,0,0
2024-09-04,PROD_0020,Healthcare,599,89,179,1078,120.92,0.226,0.376,SUP_0133,72431.08,16369.42408,0,0
2024-09-04,PROD_0021,Automotive,154,23,46,277,66.83,0.338,0.284,SUP_0137,10291.82,3478.6351600000003,0,0
2024-09-04,PROD_0022,Automotive,793,118,237,1427,162.54,0.271,0.132,SUP_0127,128894.21999999999,34930.33362,0,0
2024-09-04,PROD_0023,Healthcare,772,115,231,1389,13.35,0.258,0.24,SUP_0167,10306.199999999999,2658.9995999999996,0,0
2024-09-04,PROD_0024,Consumer_Goods,455,68,136,819,15.16,0.199,0.31,SUP_0001,6897.8,1372.6622000000002,0,0
2024-09-04,PROD_0025,Automotive,968,145,290,1742,130.09,0.254,0.136,SUP_0180,125927.12000000001,31985.488480000004,0,0
2024-09-04,PROD_0026,Electronics,817,122,245,1470,192.18,0.339,0.228,SUP_0014,157011.06,53226.74934,0,0
2024-09-04,PROD_0027,Consumer_Goods,306,45,91,550,73.0,0.152,0.153,SUP_0173,22338.0,3395.3759999999997,0,0
2024-09-04,PROD_0028,Industrial,523,78,156,941,35.83,0.154,0.422,SUP_0039,18739.09,2885.81986,0,0
2024-09-04,PROD_0029,Automotive,896,134,268,1612,122.39,0.341,0.12,SUP_0079,109661.44,37394.551040000006,0,0
2024-09-04,PROD_0030,Healthcare,1368,205,410,2462,101.68,0.215,0.227,SUP_0119,139098.24000000002,29906.121600000002,0,0
2024-09-04,PROD_0031,Industrial,324,48,97,583,139.57,0.209,0.341,SUP_0026,45220.68,9451.12212,0,0
2024-09-04,PROD_0032,Consumer_Goods,664,99,199,1195,195.03,0.26,0.115,SUP_0046,129499.92,33669.9792,0,0
2024-09-04,PROD_0033,Industrial,622,93,186,1119,85.25,0.224,0.409,SUP_0136,53025.5,11877.712,0,0
2024-09-04,PROD_0034,Healthcare,347,52,104,624,194.94,0.19,0.187,SUP_0147,67644.18,12852.394199999999,0,0
2024-09-04,PROD_0035,Automotive,664,99,199,1195,86.71,0.306,0.239,SUP_0050,57575.439999999995,17618.084639999997,0,0
2024-09-04,PROD_0036,Consumer_Goods,763,114,228,1373,90.97,0.206,0.428,SUP_0180,69410.11,14298.48266,0,0
2024-09-04,PROD_0037,Automotive,945,141,283,1701,23.32,0.298,0.164,SUP_0079,22037.4,6567.1452,0,0
2024-09-04,PROD_0038,Industrial,337,50,101,606,54.98,0.162,0.397,SUP_0076,18528.26,3001.5781199999997,0,0
2024-09-04,PROD_0039,Consumer_Goods,296,44,88,532,56.66,0.315,0.268,SUP_0135,16771.36,5282.9784,0,0
2024-09-04,PROD_0040,Consumer_Goods,627,94,188,1128,68.39,0.344,0.442,SUP_0013,42880.53,14750.90232,0,0
2024-09-04,PROD_0041,Automotive,764,114,229,1375,78.13,0.215,0.145,SUP_0029,59691.32,12833.6338,0,0
2024-09-04,PROD_0042,Industrial,938,140,281,1688,141.6,0.179,0.278,SUP_0001,132820.8,23774.923199999997,0,0
2024-09-04,PROD_0043,Industrial,126,18,37,226,179.73,0.27,0.122,SUP_0154,22645.98,6114.4146,0,0
2024-09-04,PROD_0044,Consumer_Goods,325,48,97,585,178.39,0.232,0.362,SUP_0126,57976.74999999999,13450.606,0,0
2024-09-04,PROD_0045,Automotive,97,14,29,174,84.56,0.284,0.441,SUP_0095,8202.32,2329.4588799999997,0,0
2024-09-04,PROD_0046,Consumer_Goods,1359,203,407,2446,27.31,0.205,0.231,SUP_0140,37114.29,7608.42945,0,0
2024-09-04,PROD_0047,Healthcare,287,43,86,516,13.04,0.276,0.156,SUP_0142,3742.4799999999996,1032.92448,0,0
2024-09-04,PROD_0048,Electronics,523,78,156,941,75.78,0.158,0.333,SUP_0034,39632.94,6262.00452,0,0
2024-09-04,PROD_0049,Automotive,427,64,128,768,93.67,0.314,0.131,SUP_0122,39997.090000000004,12559.086260000002,0,0
2024-09-04,PROD_0050,Automotive,870,130,261,1566,192.79,0.344,0.193,SUP_0056,167727.3,57698.191199999994,0,0
2024-09-04,PROD_0051,Industrial,116,17,34,208,93.54,0.159,0.204,SUP_0168,10850.640000000001,1725.2517600000003,0,0
2024-09-04,PROD_0052,Industrial,847,127,254,1524,154.58,0.291,0.134,SUP_0016,130929.26000000001,38100.41466,0,0
2024-09-04,PROD_0053,Automotive,1084,162,325,1951,48.84,0.221,0.311,SUP_0150,52942.560000000005,11700.305760000001,0,0
2024-09-04,PROD_0054,Industrial,1365,204,409,2457,63.74,0.231,0.176,SUP_0010,87005.1,20098.1781,0,0
2024-09-04,PROD_0055,Healthcare,1132,169,339,2037,55.05,0.234,0.407,SUP_0106,62316.6,14582.0844,0,0
2024-09-04,PROD_0056,Healthcare,771,115,231,1387,61.62,0.196,0.344,SUP_0077,47509.02,9311.76792,0,0
2024-09-04,PROD_0057,Automotive,423,63,126,761,143.34,0.215,0.129,SUP_0040,60632.82,13036.0563,0,0
2024-09-04,PROD_0058,Healthcare,237,35,71,426,81.09,0.269,0.118,SUP_0193,19218.33,5169.730770000001,0,0
2024-09-04,PROD_0059,Healthcare,819,122,245,1474,15.46,0.282,0.134,SUP_0027,12661.740000000002,3570.6106800000002,0,0
2024-09-04,PROD_0060,Healthcare,1130,169,339,2034,104.77,0.312,0.432,SUP_0114,118390.09999999999,36937.7112,0,0
2024-09-04,PROD_0061,Electronics,984,147,295,1771,112.86,0.263,0.378,SUP_0192,111054.24,29207.265120000004,0,0
2024-09-04,PROD_0062,Healthcare,970,145,291,1746,194.68,0.158,0.277,SUP_0143,188839.6,29836.6568,0,0
2024-09-04,PROD_0063,Industrial,782,117,234,1407,19.46,0.28,0.194,SUP_0135,15217.720000000001,4260.9616000000005,0,0
2024-09-04,PROD_0064,Industrial,546,81,163,982,92.68,0.298,0.169,SUP_0040,50603.280000000006,15079.777440000002,0,0
2024-09-04,PROD_0065,Industrial,278,41,83,500,107.39,0.298,0.27,SUP_0138,29854.420000000002,8896.61716,0,0
2024-09-04,PROD_0066,Industrial,1229,184,368,2212,182.14,0.329,0.408,SUP_0083,223850.06,73646.66974,0,0
2024-09-04,PROD_0067,Electronics,826,123,247,1486,122.11,0.227,0.218,SUP_0199,100862.86,22895.86922,0,0
2024-09-04,PROD_0068,Electronics,178,26,53,320,158.32,0.312,0.167,SUP_0060,28180.96,8792.45952,0,0
2024-09-04,PROD_0069,Industrial,1036,155,310,1864,186.52,0.209,0.43,SUP_0098,193234.72,40386.05648,0,0
2024-09-04,PROD_0070,Healthcare,596,89,178,1072,97.79,0.285,0.124,SUP_0116,58282.840000000004,16610.6094,0,0
2024-09-04,PROD_0071,Healthcare,346,51,103,622,32.01,0.34,0.167,SUP_0021,11075.46,3765.6564,0,0
2024-09-04,PROD_0072,Industrial,158,23,47,284,17.69,0.164,0.141,SUP_0088,2795.02,458.38328,0,0
2024-09-04,PROD_0073,Healthcare,532,79,159,957,66.94,0.278,0.217,SUP_0166,35612.08,9900.15824,0,0
2024-09-04,PROD_0074,Electronics,272,40,81,489,78.31,0.221,0.123,SUP_0037,21300.32,4707.37072,0,0
2024-09-04,PROD_0075,Industrial,1426,213,427,2566,39.98,0.222,0.145,SUP_0079,57011.479999999996,12656.54856,0,0
2024-09-04,PROD_0076,Healthcare,614,92,184,1105,124.53,0.232,0.213,SUP_0189,76461.42,17739.04944,0,0
2024-09-04,PROD_0077,Consumer_Goods,258,38,77,464,169.39,0.306,0.355,SUP_0017,43702.619999999995,13373.001719999998,0,0
2024-09-04,PROD_0078,Healthcare,404,60,121,727,144.2,0.222,0.434,SUP_0140,58256.799999999996,12933.0096,0,0
2024-09-04,PROD_0079,Electronics,1048,157,314,1886,171.23,0.305,0.439,SUP_0087,179449.03999999998,54731.95719999999,0,0
2024-09-04,PROD_0080,Consumer_Goods,764,114,229,1375,39.34,0.295,0.447,SUP_0054,30055.760000000002,8866.449200000001,0,0
2024-09-04,PROD_0081,Healthcare,939,140,281,1690,27.28,0.305,0.279,SUP_0116,25615.920000000002,7812.855600000001,0,0
2024-09-04,PROD_0082,Electronics,1028,154,308,1850,113.77,0.188,0.414,SUP_0001,116955.56,21987.64528,0,0
2024-09-04,PROD_0083,Consumer_Goods,565,84,169,1017,161.21,0.304,0.341,SUP_0129,91083.65000000001,27689.429600000003,0,0
2024-09-04,PROD_0084,Industrial,1260,189,378,2268,198.56,0.312,0.23,SUP_0011,250185.6,78057.9072,0,0
2024-09-04,PROD_0085,Healthcare,969,145,290,1744,37.52,0.323,0.191,SUP_0097,36356.880000000005,11743.272240000002,0,0
2024-09-04,PROD_0086,Industrial,984,147,295,1771,121.53,0.269,0.362,SUP_0114,119585.52,32168.504880000004,0,0
2024-09-04,PROD_0087,Industrial,636,95,190,1144,149.59,0.317,0.357,SUP_0055,95139.24,30159.13908,0,0
2024-09-04,PROD_0088,Electronics,443,66,132,797,97.92,0.264,0.258,SUP_0161,43378.56,11451.93984,0,0
2024-09-04,PROD_0089,Automotive,953,142,285,1715,43.96,0.247,0.291,SUP_0070,41893.88,10347.788359999999,0,0
2024-09-04,PROD_0090,Consumer_Goods,304,45,91,547,68.09,0.296,0.112,SUP_0195,20699.36,6127.01056,0,0
2024-09-04,PROD_0091,Automotive,1114,167,334,2005,105.45,0.219,0.32,SUP_0052,117471.3,25726.2147,0,0
2024-09-04,PROD_0092,Consumer_Goods,352,52,105,633,56.3,0.223,0.151,SUP_0042,19817.6,4419.324799999999,0,0
2024-09-04,PROD_0093,Consumer_Goods,1196,179,358,2152,107.66,0.238,0.427,SUP_0144,128761.36,30645.20368,0,0
2024-09-04,PROD_0094,Automotive,850,127,255,1530,40.74,0.258,0.202,SUP_0055,34629.0,8934.282000000001,0,0
2024-09-04,PROD_0095,Automotive,1012,151,303,1821,80.84,0.236,0.27,SUP_0149,81810.08,19307.17888,0,0
2024-09-04,PROD_0096,Healthcare,374,56,112,673,197.14,0.234,0.365,SUP_0153,73730.36,17252.90424,0,0
2024-09-04,PROD_0097,Consumer_Goods,655,98,196,1179,173.5,0.256,0.332,SUP_0019,113642.5,29092.48,0,0
2024-09-04,PROD_0098,Industrial,617,92,185,1110,67.02,0.198,0.321,SUP_0129,41351.34,8187.56532,0,0
2024-09-04,PROD_0099,Healthcare,584,87,175,1051,95.56,0.234,0.104,SUP_0181,55807.04,13058.847360000002,0,0
2024-09-04,PROD_0100,Consumer_Goods,338,50,101,608,128.82,0.258,0.196,SUP_0195,43541.159999999996,11233.619279999999,0,0
2024-09-05,PROD_0001,Healthcare,766,114,229,1378,123.56,0.278,0.152,SUP_0185,94646.96,26311.854880000003,0,0
2024-09-05,PROD_0002,Industrial,756,113,226,1360,170.82,0.244,0.248,SUP_0184,129139.92,31510.14048,0,0
2024-09-05,PROD_0003,Industrial,991,148,297,1783,121.71,0.188,0.421,SUP_0080,120614.61,22675.54668,0,0
2024-09-05,PROD_0004,Automotive,661,99,198,1189,188.09,0.158,0.105,SUP_0042,124327.49,19643.743420000003,0,0
2024-09-05,PROD_0005,Healthcare,519,77,155,934,183.34,0.311,0.192,SUP_0090,95153.46,29592.72606,0,0
2024-09-05,PROD_0006,Electronics,882,132,264,1587,129.11,0.291,0.15,SUP_0106,113875.02000000002,33137.630820000006,0,0
2024-09-05,PROD_0007,Consumer_Goods,1105,165,331,1989,134.86,0.213,0.228,SUP_0114,149020.30000000002,31741.323900000003,0,0
2024-09-05,PROD_0008,Consumer_Goods,883,132,264,1589,84.38,0.274,0.374,SUP_0017,74507.54,20415.06596,0,0
2024-09-05,PROD_0009,Consumer_Goods,533,79,159,959,168.42,0.337,0.376,SUP_0073,89767.86,30251.76882,0,0
2024-09-05,PROD_0010,Consumer_Goods,533,79,159,959,55.1,0.17,0.149,SUP_0159,29368.3,4992.611,0,0
2024-09-05,PROD_0011,Healthcare,153,22,45,275,18.35,0.298,0.355,SUP_0185,2807.55,836.6499,0,0
2024-09-05,PROD_0012,Electronics,805,120,241,1449,79.06,0.242,0.271,SUP_0038,63643.3,15401.678600000001,0,0
2024-09-05,PROD_0013,Industrial,703,105,210,1265,61.75,0.183,0.155,SUP_0065,43410.25,7944.07575,0,0
2024-09-05,PROD_0014,Electronics,1036,155,310,1864,20.52,0.343,0.442,SUP_0131,21258.72,7291.740960000001,0,0
