shipment_id,supplier_id,product_id,transportation_mode,quantity,distance_miles,shipping_cost,fuel_surcharge,delivery_time_days,planned_delivery_time,actual_delivery_time,on_time_delivery,damage_incidents,carbon_footprint_kg,cost_per_unit,cost_per_mile,delivery_performance,efficiency_score
SHIP_000012,SUP_0107,PROD_0008,Air,531,245,683.69,42.56,1,1,0,True,0,143282.14,1.287551789077213,2.790571428571429,1,0.4371485728869094
SHIP_000013,SUP_0161,PROD_0011,Truck,347,2734,130.6,7.03,2,2,5,True,0,995234.47,0.37636887608069164,0.04776883686905633,0,0.0
SHIP_000014,SUP_0012,PROD_0096,Intermodal,951,319,245.41,29.43,19,19,22,True,0,511414.18,0.2580546792849632,0.7693103448275862,0,0.0
SHIP_000015,SUP_0058,PROD_0014,Rail,311,336,287.36,25.17,7,7,10,True,0,152377.49,0.9239871382636656,0.8552380952380952,0,0.0
SHIP_000016,SUP_0085,PROD_0076,Truck,80,2969,322.38,29.08,2,2,3,True,0,588585.62,4.02975,0.10858201414617716,0,0.0
SHIP_000017,SUP_0152,PROD_0032,Truck,442,1911,230.3,16.82,3,3,3,True,0,490945.04,0.5210407239819005,0.12051282051282051,1,0.6574445931875651
SHIP_000018,SUP_0012,PROD_0056,Truck,669,462,458.43,36.78,4,4,5,True,0,584793.54,0.6852466367713005,0.9922727272727273,0,0.0
SHIP_000019,SUP_0140,PROD_0062,Truck,871,1169,148.0,10.4,5,5,5,True,0,1097605.26,0.16991963260619977,0.12660393498716851,1,0.8547595682041217
SHIP_000020,SUP_0093,PROD_0088,Intermodal,29,128,138.56,12.31,10,10,10,True,0,8699.25,4.777931034482759,1.0825,1,0.17307233229887803
SHIP_000021,SUP_0192,PROD_0084,Truck,742,2273,414.36,23.59,6,6,6,True,0,2368272.23,0.5584366576819407,0.18229652441706995,1,0.6416686844927185
SHIP_000022,SUP_0123,PROD_0054,Rail,497,2345,326.68,34.8,11,11,13,True,0,1659524.89,0.6573038229376258,0.1393091684434968,0,0.0
SHIP_000023,SUP_0068,PROD_0001,Rail,668,1746,255.78,11.23,7,7,8,True,0,2642724.14,0.3829041916167665,0.14649484536082474,0,0.0
SHIP_000024,SUP_0055,PROD_0038,Truck,803,412,132.2,7.67,2,2,4,True,0,789683.47,0.16463262764632627,0.320873786407767,0,0.0
SHIP_000025,SUP_0150,PROD_0053,Rail,157,2901,104.32,8.99,10,10,11,True,1,1090051.54,0.6644585987261146,0.035960013788348844,0,0.0
SHIP_000026,SUP_0166,PROD_0086,Ship,913,206,94.71,12.23,20,20,20,False,0,211390.66,0.10373493975903614,0.459757281553398,1,0.9060146272241022
SHIP_000027,SUP_0128,PROD_0003,Air,246,2903,795.99,85.28,2,2,3,False,0,982486.34,3.2357317073170733,0.2741956596624182,0,0.0
SHIP_000028,SUP_0130,PROD_0066,Truck,565,1532,263.16,24.0,3,3,3,True,0,2065322.09,0.4657699115044248,0.17177545691906007,1,0.6822353168469861
SHIP_000029,SUP_0147,PROD_0071,Truck,927,559,427.98,25.71,5,5,8,True,1,562330.48,0.46168284789644015,0.7656171735241503,0,0.0
SHIP_000030,SUP_0137,PROD_0011,Rail,407,1044,205.13,23.73,10,10,12,True,1,711625.23,0.504004914004914,0.19648467432950192,0,0.0
SHIP_000031,SUP_0146,PROD_0053,Air,496,539,438.28,58.05,1,1,2,True,0,476626.69,0.8836290322580644,0.8131354359925788,0,0.0
SHIP_000032,SUP_0128,PROD_0004,Rail,556,887,251.26,24.51,9,9,12,True,0,1206570.29,0.45190647482014384,0.2832694475760992,0,0.0
SHIP_000033,SUP_0133,PROD_0096,Truck,594,1642,445.77,44.89,6,6,8,True,0,1225234.71,0.7504545454545454,0.27147990255785626,0,0.0
SHIP_000034,SUP_0188,PROD_0061,Intermodal,38,1797,188.84,10.51,16,16,19,True,0,151120.21,4.969473684210526,0.10508625486922649,0,0.0
SHIP_000035,SUP_0168,PROD_0011,Rail,158,2951,282.66,21.39,8,8,10,True,0,335157.7,1.788987341772152,0.09578447983734328,0,0.0
SHIP_000036,SUP_0170,PROD_0085,Truck,435,934,182.8,13.0,4,4,7,True,0,795906.34,0.4202298850574713,0.19571734475374733,0,0.0
SHIP_000037,SUP_0119,PROD_0025,Ship,97,983,179.73,18.3,22,22,24,True,0,49739.65,1.8528865979381441,0.1828382502543235,0,0.0
SHIP_000038,SUP_0022,PROD_0010,Truck,668,2310,540.07,54.21,6,6,6,True,0,2673507.51,0.8084880239520958,0.2337965367965368,1,0.5529480907563303
SHIP_000039,SUP_0091,PROD_0079,Truck,200,1611,482.39,51.34,4,4,6,True,1,738495.75,2.41195,0.2994351334574798,0,0.0
SHIP_000040,SUP_0119,PROD_0033,Air,507,712,619.08,83.23,2,2,2,True,0,207323.93,1.2210650887573966,0.869494382022472,1,0.4502344416027281
SHIP_000041,SUP_0061,PROD_0076,Rail,294,2253,274.71,22.59,9,9,12,True,0,1563253.26,0.9343877551020408,0.12193075898801597,0,0.0
SHIP_000042,SUP_0171,PROD_0100,Truck,665,1001,481.87,53.35,3,3,5,True,0,1378104.67,0.7246165413533835,0.4813886113886114,0,0.0
SHIP_000043,SUP_0096,PROD_0009,Air,632,1151,854.63,105.07,1,1,0,True,0,825361.01,1.352262658227848,0.7425108601216334,1,0.4251225927096857
SHIP_000044,SUP_0163,PROD_0091,Air,824,806,393.17,24.35,2,2,2,True,0,696597.9,0.4771480582524272,0.48780397022332506,1,0.6769802081878455
SHIP_000045,SUP_0027,PROD_0098,Rail,447,1569,312.51,33.1,7,7,6,True,0,1366727.21,0.6991275167785235,0.1991778202676864,1,0.5885373464470515
SHIP_000046,SUP_0172,PROD_0094,Truck,963,1164,427.86,32.65,1,1,3,True,0,2100407.3,0.44429906542056075,0.3675773195876289,0,0.0
SHIP_000047,SUP_0073,PROD_0060,Truck,58,580,122.46,10.98,6,6,7,True,0,23882.83,2.1113793103448275,0.21113793103448275,0,0.0
SHIP_000048,SUP_0023,PROD_0071,Truck,168,2863,241.0,20.27,2,2,1,False,0,943189.06,1.4345238095238095,0.08417743625567586,1,0.410757946210269
SHIP_000049,SUP_0085,PROD_0008,Air,364,2484,526.74,39.02,2,2,1,False,0,2209235.08,1.447087912087912,0.21205314009661835,1,0.4086489884814873
SHIP_000050,SUP_0109,PROD_0083,Truck,654,2475,240.8,22.79,2,2,4,True,0,3791618.22,0.3681957186544343,0.09729292929292929,0,0.0
SHIP_000051,SUP_0045,PROD_0016,Air,701,1457,391.04,39.47,2,2,2,True,0,741042.08,0.5578316690442225,0.2683870967741936,1,0.6419178784659904
SHIP_000052,SUP_0195,PROD_0079,Truck,785,1497,443.94,47.2,1,1,2,True,0,2856799.62,0.5655286624203821,0.29655310621242487,0,0.0
SHIP_000053,SUP_0179,PROD_0073,Ship,13,248,167.62,18.59,20,20,22,True,0,2468.28,12.893846153846154,0.6758870967741936,0,0.0
SHIP_000054,SUP_0134,PROD_0036,Air,668,796,443.21,29.29,1,1,4,True,1,694022.66,0.6634880239520958,0.5567964824120603,0,0.0
SHIP_000055,SUP_0157,PROD_0061,Intermodal,400,1561,380.21,28.41,8,8,7,False,0,1105387.71,0.950525,0.2435682254964766,1,0.5126824829212648
SHIP_000056,SUP_0106,PROD_0030,Truck,761,2068,326.47,17.81,6,6,9,True,0,2336032.99,0.42900131406044684,0.15786750483558995,0,0.0
SHIP_000057,SUP_0006,PROD_0056,Truck,98,996,499.5,62.17,4,4,6,True,0,190673.3,5.096938775510204,0.5015060240963856,0,0.0
SHIP_000058,SUP_0066,PROD_0092,Truck,601,1574,140.95,8.3,1,1,1,True,0,2053438.82,0.23452579034941762,0.08954891994917408,1,0.8100276298941977
SHIP_000059,SUP_0173,PROD_0041,Intermodal,518,1034,249.15,20.3,12,12,12,True,0,1133426.26,0.480984555984556,0.24095744680851064,1,0.6752264876490908
SHIP_000060,SUP_0194,PROD_0074,Air,854,2478,556.55,33.55,2,2,1,True,0,3836914.88,0.6516978922716627,0.2245964487489911,1,0.6054375952642587
SHIP_000061,SUP_0119,PROD_0009,Intermodal,910,1524,142.63,14.68,7,7,6,True,0,1574506.67,0.15673626373626373,0.09358923884514435,1,0.8645012967519452
SHIP_000062,SUP_0133,PROD_0031,Rail,372,2329,238.98,28.56,13,13,16,True,0,1723362.67,0.6424193548387096,0.10261056247316444,0,0.0
SHIP_000063,SUP_0160,PROD_0033,Rail,985,181,83.39,10.63,6,6,5,True,0,152366.34,0.08465989847715737,0.46071823204419887,1,0.9219479777983695
SHIP_000064,SUP_0152,PROD_0071,Air,317,186,261.71,27.46,2,2,5,True,0,146938.62,0.8255835962145109,1.4070430107526881,0,0.0
SHIP_000065,SUP_0149,PROD_0017,Air,274,1464,585.9,45.19,2,2,5,True,0,977393.7,2.1383211678832117,0.40020491803278685,0,0.0
SHIP_000066,SUP_0107,PROD_0054,Truck,182,895,421.64,42.89,4,4,5,True,0,358213.93,2.3167032967032966,0.47110614525139666,0,0.0
SHIP_000067,SUP_0086,PROD_0094,Rail,305,2127,148.76,15.0,13,13,14,True,0,1542041.77,0.48773770491803276,0.06993888105312647,0,0.0
SHIP_000068,SUP_0078,PROD_0009,Ship,305,837,166.88,18.89,44,44,46,True,0,624230.91,0.5471475409836065,0.19937873357228195,0,0.0
SHIP_000069,SUP_0142,PROD_0019,Intermodal,227,2157,264.89,22.92,12,12,15,True,1,913392.91,1.1669162995594713,0.12280482151135837,0,0.0
SHIP_000070,SUP_0035,PROD_0012,Rail,751,1592,213.27,23.06,6,6,9,True,0,885730.88,0.2839813581890812,0.133963567839196,0,0.0
SHIP_000071,SUP_0123,PROD_0062,Truck,980,1761,236.88,12.08,1,1,1,True,0,1315147.07,0.24171428571428571,0.1345144804088586,1,0.8053382420616658
SHIP_000072,SUP_0185,PROD_0054,Truck,324,1497,381.28,34.44,2,2,1,True,0,876683.73,1.1767901234567901,0.2546960587842351,1,0.45939201451905626
SHIP_000073,SUP_0135,PROD_0078,Air,967,522,489.13,47.49,1,1,3,True,0,901751.0,0.5058221302998965,0.9370306513409962,0,0.0
SHIP_000074,SUP_0107,PROD_0061,Air,324,2245,618.1,65.4,2,2,4,True,2,1105042.22,1.907716049382716,0.27532293986636974,0,0.0
SHIP_000075,SUP_0135,PROD_0004,Truck,236,668,235.22,22.36,2,2,4,True,0,242469.58,0.9966949152542373,0.352125748502994,0,0.0
SHIP_000076,SUP_0003,PROD_0085,Intermodal,287,1820,220.01,23.59,14,14,13,True,0,777021.31,0.7665853658536586,0.12088461538461538,1,0.5660637857241474
SHIP_000077,SUP_0179,PROD_0095,Truck,645,646,373.17,33.42,2,2,4,True,0,740964.4,0.5785581395348838,0.5776625386996904,0,0.0
SHIP_000078,SUP_0147,PROD_0020,Ship,832,1093,90.23,7.6,14,14,16,True,0,1565758.01,0.10844951923076923,0.08255260750228728,0,0.0
SHIP_000079,SUP_0024,PROD_0017,Ship,716,1871,60.1,7.04,23,23,22,True,0,1410192.22,0.08393854748603352,0.032121859967931585,1,0.922561525576601
SHIP_000080,SUP_0104,PROD_0051,Air,668,180,311.41,20.6,1,1,3,True,0,260202.79,0.46618263473053895,1.7300555555555557,0,0.0
SHIP_000081,SUP_0035,PROD_0049,Truck,942,2906,135.92,11.07,4,4,3,True,0,3178011.23,0.14428874734607217,0.046772195457673776,1,0.8739052990945525
SHIP_000082,SUP_0029,PROD_0027,Rail,339,1248,285.95,16.27,7,7,10,False,0,569766.11,0.8435103244837758,0.22912660256410255,0,0.0
SHIP_000083,SUP_0161,PROD_0023,Air,257,439,315.48,23.2,2,2,2,True,0,87449.64,1.2275486381322958,0.7186332574031891,1,0.4489239798770262
SHIP_000084,SUP_0034,PROD_0095,Air,889,1525,688.87,65.27,2,2,4,False,0,937855.29,0.7748818897637796,0.45171803278688527,0,0.0
SHIP_000085,SUP_0146,PROD_0093,Rail,808,2101,293.3,28.06,9,9,9,True,0,2913854.9,0.3629950495049505,0.1396001903855307,1,0.7336783800962499
SHIP_000086,SUP_0168,PROD_0017,Truck,472,1655,247.12,11.01,6,6,5,True,0,1553319.28,0.5235593220338983,0.14931722054380664,1,0.6563577706085215
SHIP_000087,SUP_0116,PROD_0010,Air,288,2200,926.45,40.08,2,2,5,True,0,798550.89,3.216840277777778,0.42111363636363636,0,0.0
SHIP_000088,SUP_0096,PROD_0036,Intermodal,695,2119,245.88,10.3,13,13,15,True,0,1521588.98,0.3537841726618705,0.11603586597451628,0,0.0
SHIP_000089,SUP_0191,PROD_0094,Air,304,1618,763.82,48.23,1,1,3,True,0,414759.02,2.5125657894736846,0.4720766378244747,0,0.0
SHIP_000090,SUP_0066,PROD_0024,Ship,864,1448,57.7,6.81,16,16,19,True,0,1234744.79,0.06678240740740742,0.03984806629834255,0,0.0
SHIP_000091,SUP_0200,PROD_0100,Air,904,2089,888.13,99.53,1,1,4,True,0,2297661.94,0.9824446902654868,0.4251460028721876,0,0.0
SHIP_000092,SUP_0006,PROD_0009,Truck,235,1239,335.99,20.96,3,3,4,True,0,660675.62,1.4297446808510639,0.27117836965294595,0,0.0
SHIP_000093,SUP_0123,PROD_0023,Ship,917,2332,151.1,17.74,34,34,34,True,0,2693955.76,0.16477644492911667,0.06479416809605489,1,0.8585338451455856
SHIP_000094,SUP_0075,PROD_0010,Air,574,2480,922.42,81.13,1,1,0,True,1,866501.49,1.6070034843205574,0.37194354838709676,1,0.19179107469827988
SHIP_000095,SUP_0059,PROD_0051,Ship,383,700,177.68,14.05,14,14,15,True,0,416155.39,0.4639164490861619,0.25382857142857146,0,0.0
SHIP_000096,SUP_0057,PROD_0077,Intermodal,359,2305,161.07,14.89,8,8,9,True,0,627873.89,0.4486629526462395,0.06987852494577006,0,0.0
SHIP_000097,SUP_0001,PROD_0005,Rail,705,963,95.33,7.68,10,10,9,True,0,364999.99,0.13521985815602836,0.09899273104880581,1,0.8808866342633663
SHIP_000098,SUP_0009,PROD_0084,Truck,157,1589,562.28,39.56,1,1,0,False,2,507488.09,3.58140127388535,0.35385777218376335,1,0.0727579431283135
SHIP_000099,SUP_0047,PROD_0056,Truck,956,2330,526.95,47.98,3,3,4,True,0,4313937.88,0.551202928870293,0.22615879828326182,0,0.0
SHIP_000100,SUP_0024,PROD_0073,Truck,191,2344,477.88,40.87,2,2,2,True,0,298592.24,2.5019895287958116,0.20387372013651878,1,0.2855519674680062
SHIP_000101,SUP_0127,PROD_0002,Air,737,800,765.71,37.87,1,1,0,True,0,702292.38,1.038955223880597,0.9571375000000001,1,0.4904472586194275
SHIP_000102,SUP_0008,PROD_0094,Air,252,2859,732.31,71.1,1,1,4,True,0,1460207.58,2.905992063492063,0.25614200769499823,0,0.0
SHIP_000103,SUP_0088,PROD_0087,Truck,818,1703,177.29,11.25,1,1,1,True,0,916908.0,0.2167359413202934,0.1041045214327657,1,0.8218710124687277
SHIP_000104,SUP_0159,PROD_0065,Truck,789,424,379.56,24.1,6,6,5,False,0,622686.4,0.48106463878326994,0.895188679245283,1,0.675189977408092
SHIP_000105,SUP_0017,PROD_0051,Air,178,539,297.98,37.43,1,1,0,True,0,159442.03,1.6740449438202247,0.5528385899814472,1,0.3739652926593554
SHIP_000106,SUP_0148,PROD_0095,Truck,69,2852,238.68,25.18,2,2,4,True,0,106297.6,3.4591304347826086,0.08368863955119214,0,0.0
SHIP_000107,SUP_0155,PROD_0013,Truck,515,1501,421.75,42.51,4,4,6,True,0,1121210.26,0.8189320388349515,0.28097934710193206,0,0.0
SHIP_000108,SUP_0188,PROD_0038,Intermodal,724,117,301.97,30.32,19,19,20,False,0,185555.62,0.4170856353591161,2.5809401709401714,0,0.0
SHIP_000109,SUP_0091,PROD_0027,Truck,127,1998,394.9,41.46,4,4,3,True,0,182597.24,3.1094488188976377,0.19764764764764764,1,0.2433416363287986
SHIP_000110,SUP_0023,PROD_0018,Air,669,904,647.35,49.36,1,1,4,True,1,1348497.54,0.9676382660687594,0.7160951327433629,0,0.0
SHIP_000111,SUP_0175,PROD_0055,Rail,808,477,160.07,17.19,11,11,13,False,0,284756.06,0.19810643564356434,0.33557651991614257,0,0.0
SHIP_000112,SUP_0047,PROD_0058,Air,596,2263,532.96,58.66,1,1,4,True,0,954851.51,0.8942281879194631,0.23551038444542644,0,0.0
SHIP_000113,SUP_0015,PROD_0034,Truck,640,2701,286.95,17.11,1,1,2,True,0,3745438.79,0.448359375,0.10623843021103295,0,0.0
SHIP_000114,SUP_0156,PROD_0078,Truck,649,1064,408.23,41.62,5,5,5,True,0,1217747.55,0.6290138674884438,0.3836748120300752,1,0.6138683162604164
SHIP_000115,SUP_0044,PROD_0066,Rail,907,315,137.34,18.59,7,7,9,True,0,656383.45,0.15142227122381477,0.436,0,0.0
SHIP_000116,SUP_0183,PROD_0051,Truck,239,825,494.69,42.42,4,4,6,True,0,360826.67,2.0698326359832637,0.5996242424242424,0,0.0
SHIP_000117,SUP_0190,PROD_0066,Rail,195,1663,161.24,15.01,11,11,12,True,0,686449.48,0.826871794871795,0.09695730607336141,0,0.0
SHIP_000118,SUP_0034,PROD_0007,Truck,300,1760,381.64,19.02,6,6,8,True,1,356887.96,1.2721333333333333,0.21684090909090908,0,0.0
SHIP_000119,SUP_0088,PROD_0007,Truck,412,2167,342.68,34.63,3,3,4,True,1,1375040.5,0.831747572815534,0.15813567143516383,0,0.0
SHIP_000120,SUP_0108,PROD_0070,Intermodal,835,1210,244.88,23.54,18,18,17,True,0,2315611.32,0.2932694610778443,0.2023801652892562,1,0.7732340630440419
SHIP_000121,SUP_0137,PROD_0057,Truck,194,1757,334.63,35.19,2,2,3,True,0,475646.84,1.7248969072164948,0.19045532157085943,0,0.0
SHIP_000122,SUP_0051,PROD_0095,Rail,905,1790,318.05,29.77,12,12,15,True,0,3297556.9,0.3514364640883978,0.17768156424581005,0,0.0
SHIP_000123,SUP_0072,PROD_0056,Rail,101,1657,292.12,33.98,5,5,5,False,0,338645.16,2.892277227722772,0.1762945081472541,1,0.25691900691900693
SHIP_000124,SUP_0174,PROD_0024,Intermodal,262,1209,351.31,35.63,18,18,21,False,0,189435.63,1.3408778625954199,0.2905789909015715,0,0.0
SHIP_000125,SUP_0064,PROD_0081,Truck,420,1895,219.01,27.6,1,1,2,True,0,1194264.05,0.5214523809523809,0.11557255936675462,0,0.0
SHIP_000126,SUP_0181,PROD_0087,Truck,925,618,353.71,49.38,4,4,4,True,0,308417.05,0.3823891891891892,0.5723462783171521,1,0.7233852867342869
SHIP_000127,SUP_0096,PROD_0041,Air,12,62,229.09,16.85,2,2,1,False,0,1221.14,19.090833333333332,3.695,1,0.04977394334066117
SHIP_000128,SUP_0017,PROD_0004,Truck,278,825,326.51,38.25,6,6,5,False,0,258659.62,1.1744964028776979,0.39576969696969694,1,0.4598765942664307
SHIP_000129,SUP_0180,PROD_0012,Truck,458,517,207.41,28.5,4,4,4,False,0,318624.21,0.45286026200873364,0.40117988394584136,1,0.6882974406756737
SHIP_000130,SUP_0012,PROD_0033,Truck,748,2049,332.96,20.99,6,6,9,True,0,2964605.05,0.4451336898395722,0.16249877989263053,0,0.0
SHIP_000131,SUP_0150,PROD_0090,Air,524,1237,583.01,59.14,2,2,2,False,0,1118597.11,1.1126145038167938,0.47130962004850446,1,0.4733471242355534
SHIP_000132,SUP_0045,PROD_0037,Air,925,2870,956.37,69.86,2,2,4,True,1,3076885.6,1.0339135135135136,0.3332299651567944,0,0.0
SHIP_000133,SUP_0078,PROD_0041,Rail,385,1713,231.87,28.59,10,10,10,True,0,1247696.08,0.6022597402597403,0.13535901926444835,1,0.6241185338888259
SHIP_000134,SUP_0158,PROD_0017,Truck,956,2205,537.53,23.66,6,6,6,True,0,3157324.34,0.5622698744769874,0.24377777777777776,1,0.640094273298829
SHIP_000135,SUP_0112,PROD_0081,Truck,720,434,366.39,45.84,6,6,8,True,0,555299.34,0.508875,0.8442165898617511,0,0.0
SHIP_000136,SUP_0149,PROD_0023,Truck,232,1313,450.91,59.76,1,1,2,True,0,235542.37,1.9435775862068967,0.34341964965727345,0,0.0
SHIP_000137,SUP_0046,PROD_0012,Intermodal,363,1723,380.83,38.86,9,9,11,True,0,1485830.37,1.0491184573002754,0.2210272780034823,0,0.0
SHIP_000138,SUP_0071,PROD_0053,Truck,811,1737,481.29,39.22,1,1,3,False,0,765189.39,0.5934525277435265,0.2770811744386874,0,0.0
SHIP_000139,SUP_0151,PROD_0052,Ship,775,1230,138.5,8.12,21,21,23,True,0,1157893.41,0.17870967741935484,0.11260162601626016,0,0.0
SHIP_000140,SUP_0148,PROD_0063,Truck,437,1342,343.86,19.6,3,3,6,True,1,688433.2,0.7868649885583524,0.2562295081967213,0,0.0
SHIP_000141,SUP_0160,PROD_0069,Air,304,566,223.36,10.84,2,2,4,True,0,122903.26,0.7347368421052632,0.39462897526501767,0,0.0
SHIP_000142,SUP_0110,PROD_0086,Truck,989,1911,155.33,19.01,6,6,9,True,0,1858315.0,0.15705763397371084,0.08128205128205129,0,0.0
SHIP_000143,SUP_0018,PROD_0003,Rail,61,992,186.92,20.63,10,10,10,True,0,104839.36,3.064262295081967,0.1884274193548387,1,0.24604711197160375
SHIP_000144,SUP_0095,PROD_0072,Rail,510,1602,136.13,12.71,12,12,14,True,0,539719.32,0.266921568627451,0.08497503121098626,0,0.0
SHIP_000145,SUP_0041,PROD_0053,Rail,320,1987,185.08,18.46,6,6,5,True,0,1361627.42,0.5783750000000001,0.09314544539506794,1,0.6335629999208046
SHIP_000146,SUP_0123,PROD_0014,Rail,636,1722,220.77,12.08,13,13,16,False,0,2182135.67,0.347122641509434,0.128205574912892,0,0.0
SHIP_000147,SUP_0144,PROD_0075,Truck,119,1887,493.42,29.59,6,6,7,True,0,144705.19,4.146386554621849,0.26148383677795445,0,0.0
SHIP_000148,SUP_0003,PROD_0041,Rail,105,954,323.19,33.47,11,11,13,True,0,133950.99,3.078,0.3387735849056604,0,0.0
SHIP_000149,SUP_0053,PROD_0003,Truck,132,2310,509.49,25.42,1,1,3,True,0,655370.65,3.8597727272727274,0.22055844155844156,0,0.0
SHIP_000150,SUP_0026,PROD_0090,Truck,513,2407,535.0,24.06,5,5,6,True,0,2462012.39,1.0428849902534114,0.22226838388034897,0,0.0
SHIP_000151,SUP_0013,PROD_0085,Rail,258,2406,194.68,12.34,11,11,13,True,0,1079503.89,0.7545736434108528,0.08091438071487947,0,0.0
SHIP_000152,SUP_0066,PROD_0066,Rail,366,1219,331.82,16.3,7,7,10,True,0,303373.2,0.9066120218579234,0.2722067268252666,0,0.0
SHIP_000153,SUP_0110,PROD_0004,Rail,862,2404,250.68,21.05,9,9,11,True,0,1393708.56,0.29081206496519724,0.10427620632279534,0,0.0
SHIP_000154,SUP_0186,PROD_0069,Truck,172,2996,454.54,49.22,3,3,2,True,0,992126.49,2.6426744186046514,0.15171562082777038,1,0.2745235739138762
SHIP_000155,SUP_0132,PROD_0077,Truck,733,1678,557.18,25.57,4,4,6,True,0,1933120.9,0.7601364256480218,0.33205005959475564,0,0.0
SHIP_000156,SUP_0067,PROD_0010,Ship,386,1113,209.13,21.99,36,36,38,True,0,1060494.81,0.5417875647668393,0.18789757412398922,0,0.0
SHIP_000157,SUP_0085,PROD_0024,Truck,388,2394,232.44,13.0,6,6,8,True,0,1287285.4,0.5990721649484536,0.09709273182957394,0,0.0
SHIP_000158,SUP_0160,PROD_0039,Rail,535,1584,111.61,8.84,11,11,12,True,0,1294157.48,0.20861682242990653,0.07046085858585859,0,0.0
SHIP_000159,SUP_0128,PROD_0041,Rail,435,1861,191.54,8.69,10,10,10,True,0,689548.95,0.44032183908045974,0.10292315959161741,1,0.6942892712356753
SHIP_000160,SUP_0007,PROD_0012,Truck,111,839,272.07,32.36,3,3,2,True,0,222224.29,2.451081081081081,0.3242789034564958,1,0.2897642728483045
SHIP_000161,SUP_0083,PROD_0076,Rail,754,1782,219.15,10.48,7,7,8,True,0,962640.51,0.29064986737400533,0.12297979797979798,0,0.0
SHIP_000162,SUP_0097,PROD_0035,Air,15,1271,510.05,66.08,1,1,3,True,0,38456.82,34.00333333333334,0.40129819040125886,0,0.0
SHIP_000163,SUP_0104,PROD_0048,Ship,570,714,124.75,11.35,22,22,22,True,0,330487.71,0.218859649122807,0.17471988795518206,1,0.8204390068369918
SHIP_000164,SUP_0014,PROD_0051,Ship,202,1713,106.77,9.36,25,25,24,True,0,535323.94,0.5285643564356436,0.0623292469352014,1,0.6542086342585096
SHIP_000165,SUP_0015,PROD_0006,Air,751,2257,649.66,66.34,1,1,0,True,0,2566736.72,0.8650599201065245,0.2878422684980062,1,0.536175802835806
SHIP_000166,SUP_0004,PROD_0002,Truck,918,507,419.67,35.14,1,1,4,True,0,984365.66,0.45715686274509804,0.8277514792899409,0,0.0
SHIP_000167,SUP_0104,PROD_0007,Air,494,214,649.34,74.15,1,1,4,False,0,154443.8,1.3144534412955466,3.034299065420561,0,0.0
SHIP_000168,SUP_0125,PROD_0060,Ship,883,2384,137.63,14.26,36,36,35,True,0,5178134.57,0.15586636466591167,0.05773070469798657,1,0.8651519159734673
SHIP_000169,SUP_0190,PROD_0084,Air,100,2180,823.36,84.67,2,2,1,True,0,390185.25,8.233600000000001,0.3776880733944954,1,0.10830012129613584
SHIP_000170,SUP_0133,PROD_0070,Truck,506,1248,281.18,27.37,3,3,4,True,0,1342301.37,0.5556916996047431,0.22530448717948717,0,0.0
SHIP_000171,SUP_0152,PROD_0092,Ship,900,1235,122.3,12.24,34,34,36,False,0,2520873.29,0.1358888888888889,0.09902834008097165,0,0.0
SHIP_000172,SUP_0186,PROD_0025,Truck,53,1561,573.33,73.91,2,2,4,True,0,114278.28,10.817547169811322,0.36728379244074316,0,0.0
SHIP_000173,SUP_0067,PROD_0039,Air,194,142,619.34,45.41,1,1,2,True,0,61631.52,3.1924742268041237,4.3615492957746484,0,0.0
