shipment_id,supplier_id,product_id,transportation_mode,quantity,distance_miles,shipping_cost,fuel_surcharge,delivery_time_days,planned_delivery_time,actual_delivery_time,on_time_delivery,damage_incidents,carbon_footprint_kg
SHIP_000035,SUP_0168,PROD_0011,Rail,158,2951,282.66,21.39,8,8,10,True,0,335157.7
SHIP_000036,SUP_0170,PROD_0085,Truck,435,934,182.8,13.0,4,4,7,True,0,795906.34
SHIP_000037,SUP_0119,PROD_0025,Ship,97,983,179.73,18.3,22,22,24,True,0,49739.65
SHIP_000038,SUP_0022,PROD_0010,Truck,668,2310,540.07,54.21,6,6,6,True,0,2673507.51
SHIP_000039,SUP_0091,PROD_0079,Truck,200,1611,482.39,51.34,4,4,6,True,1,738495.75
SHIP_000040,SUP_0119,PROD_0033,Air,507,712,619.08,83.23,2,2,2,True,0,207323.93
SHIP_000041,SUP_0061,PROD_0076,Rail,294,2253,274.71,22.59,9,9,12,True,0,1563253.26
SHIP_000042,SUP_0171,PROD_0100,Truck,665,1001,481.87,53.35,3,3,5,True,0,1378104.67
SHIP_000043,SUP_0096,PROD_0009,Air,632,1151,854.63,105.07,1,1,0,True,0,825361.01
SHIP_000044,SUP_0163,PROD_0091,Air,824,806,393.17,24.35,2,2,2,True,0,696597.9
SHIP_000045,SUP_0027,PROD_0098,Rail,447,1569,312.51,33.1,7,7,6,True,0,1366727.21
SHIP_000046,SUP_0172,PROD_0094,Truck,963,1164,427.86,32.65,1,1,3,True,0,2100407.3
SHIP_000047,SUP_0073,PROD_0060,Truck,58,580,122.46,10.98,6,6,7,True,0,23882.83
SHIP_000048,SUP_0023,PROD_0071,Truck,168,2863,241.0,20.27,2,2,1,False,0,943189.06
SHIP_000049,SUP_0085,PROD_0008,Air,364,2484,526.74,39.02,2,2,1,False,0,2209235.08
SHIP_000050,SUP_0109,PROD_0083,Truck,654,2475,240.8,22.79,2,2,4,True,0,3791618.22
SHIP_000051,SUP_0045,PROD_0016,Air,701,1457,391.04,39.47,2,2,2,True,0,741042.08
SHIP_000052,SUP_0195,PROD_0079,Truck,785,1497,443.94,47.2,1,1,2,True,0,2856799.62
SHIP_000053,SUP_0179,PROD_0073,Ship,13,248,167.62,18.59,20,20,22,True,0,2468.28
SHIP_000054,SUP_0134,PROD_0036,Air,668,796,443.21,29.29,1,1,4,True,1,694022.66
SHIP_000055,SUP_0157,PROD_0061,Intermodal,400,1561,380.21,28.41,8,8,7,False,0,1105387.71
SHIP_000056,SUP_0106,PROD_0030,Truck,761,2068,326.47,17.81,6,6,9,True,0,2336032.99
SHIP_000057,SUP_0006,PROD_0056,Truck,98,996,499.5,62.17,4,4,6,True,0,190673.3
SHIP_000058,SUP_0066,PROD_0092,Truck,601,1574,140.95,8.3,1,1,1,True,0,2053438.82
SHIP_000059,SUP_0173,PROD_0041,Intermodal,518,1034,249.15,20.3,12,12,12,True,0,1133426.26
SHIP_000060,SUP_0194,PROD_0074,Air,854,2478,556.55,33.55,2,2,1,True,0,3836914.88
SHIP_000061,SUP_0119,PROD_0009,Intermodal,910,1524,142.63,14.68,7,7,6,True,0,1574506.67
SHIP_000062,SUP_0133,PROD_0031,Rail,372,2329,238.98,28.56,13,13,16,True,0,1723362.67
SHIP_000063,SUP_0160,PROD_0033,Rail,985,181,83.39,10.63,6,6,5,True,0,152366.34
SHIP_000064,SUP_0152,PROD_0071,Air,317,186,261.71,27.46,2,2,5,True,0,146938.62
SHIP_000065,SUP_0149,PROD_0017,Air,274,1464,585.9,45.19,2,2,5,True,0,977393.7
SHIP_000066,SUP_0107,PROD_0054,Truck,182,895,421.64,42.89,4,4,5,True,0,358213.93
SHIP_000067,SUP_0086,PROD_0094,Rail,305,2127,148.76,15.0,13,13,14,True,0,1542041.77
SHIP_000068,SUP_0078,PROD_0009,Ship,305,837,166.88,18.89,44,44,46,True,0,624230.91
SHIP_000069,SUP_0142,PROD_0019,Intermodal,227,2157,264.89,22.92,12,12,15,True,1,913392.91
SHIP_000070,SUP_0035,PROD_0012,Rail,751,1592,213.27,23.06,6,6,9,True,0,885730.88
SHIP_000071,SUP_0123,PROD_0062,Truck,980,1761,236.88,12.08,1,1,1,True,0,1315147.07
SHIP_000072,SUP_0185,PROD_0054,Truck,324,1497,381.28,34.44,2,2,1,True,0,876683.73
SHIP_000073,SUP_0135,PROD_0078,Air,967,522,489.13,47.49,1,1,3,True,0,901751.0
SHIP_000074,SUP_0107,PROD_0061,Air,324,2245,618.1,65.4,2,2,4,True,2,1105042.22
SHIP_000075,SUP_0135,PROD_0004,Truck,236,668,235.22,22.36,2,2,4,True,0,242469.58
SHIP_000076,SUP_0003,PROD_0085,Intermodal,287,1820,220.01,23.59,14,14,13,True,0,777021.31
SHIP_000077,SUP_0179,PROD_0095,Truck,645,646,373.17,33.42,2,2,4,True,0,740964.4
SHIP_000078,SUP_0147,PROD_0020,Ship,832,1093,90.23,7.6,14,14,16,True,0,1565758.01
SHIP_000079,SUP_0024,PROD_0017,Ship,716,1871,60.1,7.04,23,23,22,True,0,1410192.22
SHIP_000080,SUP_0104,PROD_0051,Air,668,180,311.41,20.6,1,1,3,True,0,260202.79
SHIP_000081,SUP_0035,PROD_0049,Truck,942,2906,135.92,11.07,4,4,3,True,0,3178011.23
SHIP_000082,SUP_0029,PROD_0027,Rail,339,1248,285.95,16.27,7,7,10,False,0,569766.11
SHIP_000083,SUP_0161,PROD_0023,Air,257,439,315.48,23.2,2,2,2,True,0,87449.64
SHIP_000084,SUP_0034,PROD_0095,Air,889,1525,688.87,65.27,2,2,4,False,0,937855.29
SHIP_000085,SUP_0146,PROD_0093,Rail,808,2101,293.3,28.06,9,9,9,True,0,2913854.9
SHIP_000086,SUP_0168,PROD_0017,Truck,472,1655,247.12,11.01,6,6,5,True,0,1553319.28
SHIP_000087,SUP_0116,PROD_0010,Air,288,2200,926.45,40.08,2,2,5,True,0,798550.89
SHIP_000088,SUP_0096,PROD_0036,Intermodal,695,2119,245.88,10.3,13,13,15,True,0,1521588.98
SHIP_000089,SUP_0191,PROD_0094,Air,304,1618,763.82,48.23,1,1,3,True,0,414759.02
SHIP_000090,SUP_0066,PROD_0024,Ship,864,1448,57.7,6.81,16,16,19,True,0,1234744.79
SHIP_000091,SUP_0200,PROD_0100,Air,904,2089,888.13,99.53,1,1,4,True,0,2297661.94
SHIP_000092,SUP_0006,PROD_0009,Truck,235,1239,335.99,20.96,3,3,4,True,0,660675.62
SHIP_000093,SUP_0123,PROD_0023,Ship,917,2332,151.1,17.74,34,34,34,True,0,2693955.76
SHIP_000094,SUP_0075,PROD_0010,Air,574,2480,922.42,81.13,1,1,0,True,1,866501.49
SHIP_000095,SUP_0059,PROD_0051,Ship,383,700,177.68,14.05,14,14,15,True,0,416155.39
SHIP_000096,SUP_0057,PROD_0077,Intermodal,359,2305,161.07,14.89,8,8,9,True,0,627873.89
SHIP_000097,SUP_0001,PROD_0005,Rail,705,963,95.33,7.68,10,10,9,True,0,364999.99
SHIP_000098,SUP_0009,PROD_0084,Truck,157,1589,562.28,39.56,1,1,0,False,2,507488.09
SHIP_000099,SUP_0047,PROD_0056,Truck,956,2330,526.95,47.98,3,3,4,True,0,4313937.88
SHIP_000100,SUP_0024,PROD_0073,Truck,191,2344,477.88,40.87,2,2,2,True,0,298592.24
SHIP_000101,SUP_0127,PROD_0002,Air,737,800,765.71,37.87,1,1,0,True,0,702292.38
SHIP_000102,SUP_0008,PROD_0094,Air,252,2859,732.31,71.1,1,1,4,True,0,1460207.58
SHIP_000103,SUP_0088,PROD_0087,Truck,818,1703,177.29,11.25,1,1,1,True,0,916908.0
SHIP_000104,SUP_0159,PROD_0065,Truck,789,424,379.56,24.1,6,6,5,False,0,622686.4
SHIP_000105,SUP_0017,PROD_0051,Air,178,539,297.98,37.43,1,1,0,True,0,159442.03
SHIP_000106,SUP_0148,PROD_0095,Truck,69,2852,238.68,25.18,2,2,4,True,0,106297.6
SHIP_000107,SUP_0155,PROD_0013,Truck,515,1501,421.75,42.51,4,4,6,True,0,1121210.26
SHIP_000108,SUP_0188,PROD_0038,Intermodal,724,117,301.97,30.32,19,19,20,False,0,185555.62
SHIP_000109,SUP_0091,PROD_0027,Truck,127,1998,394.9,41.46,4,4,3,True,0,182597.24
SHIP_000110,SUP_0023,PROD_0018,Air,669,904,647.35,49.36,1,1,4,True,1,1348497.54
SHIP_000111,SUP_0175,PROD_0055,Rail,808,477,160.07,17.19,11,11,13,False,0,284756.06
SHIP_000112,SUP_0047,PROD_0058,Air,596,2263,532.96,58.66,1,1,4,True,0,954851.51
SHIP_000113,SUP_0015,PROD_0034,Truck,640,2701,286.95,17.11,1,1,2,True,0,3745438.79
SHIP_000114,SUP_0156,PROD_0078,Truck,649,1064,408.23,41.62,5,5,5,True,0,1217747.55
SHIP_000115,SUP_0044,PROD_0066,Rail,907,315,137.34,18.59,7,7,9,True,0,656383.45
SHIP_000116,SUP_0183,PROD_0051,Truck,239,825,494.69,42.42,4,4,6,True,0,360826.67
SHIP_000117,SUP_0190,PROD_0066,Rail,195,1663,161.24,15.01,11,11,12,True,0,686449.48
SHIP_000118,SUP_0034,PROD_0007,Truck,300,1760,381.64,19.02,6,6,8,True,1,356887.96
SHIP_000119,SUP_0088,PROD_0007,Truck,412,2167,342.68,34.63,3,3,4,True,1,1375040.5
SHIP_000120,SUP_0108,PROD_0070,Intermodal,835,1210,244.88,23.54,18,18,17,True,0,2315611.32
SHIP_000121,SUP_0137,PROD_0057,Truck,194,1757,334.63,35.19,2,2,3,True,0,475646.84
SHIP_000122,SUP_0051,PROD_0095,Rail,905,1790,318.05,29.77,12,12,15,True,0,3297556.9
SHIP_000123,SUP_0072,PROD_0056,Rail,101,1657,292.12,33.98,5,5,5,False,0,338645.16
SHIP_000124,SUP_0174,PROD_0024,Intermodal,262,1209,351.31,35.63,18,18,21,False,0,189435.63
SHIP_000125,SUP_0064,PROD_0081,Truck,420,1895,219.01,27.6,1,1,2,True,0,1194264.05
SHIP_000126,SUP_0181,PROD_0087,Truck,925,618,353.71,49.38,4,4,4,True,0,308417.05
SHIP_000127,SUP_0096,PROD_0041,Air,12,62,229.09,16.85,2,2,1,False,0,1221.14
SHIP_000128,SUP_0017,PROD_0004,Truck,278,825,326.51,38.25,6,6,5,False,0,258659.62
SHIP_000129,SUP_0180,PROD_0012,Truck,458,517,207.41,28.5,4,4,4,False,0,318624.21
SHIP_000130,SUP_0012,PROD_0033,Truck,748,2049,332.96,20.99,6,6,9,True,0,2964605.05
SHIP_000131,SUP_0150,PROD_0090,Air,524,1237,583.01,59.14,2,2,2,False,0,1118597.11
SHIP_000132,SUP_0045,PROD_0037,Air,925,2870,956.37,69.86,2,2,4,True,1,3076885.6
SHIP_000133,SUP_0078,PROD_0041,Rail,385,1713,231.87,28.59,10,10,10,True,0,1247696.08
SHIP_000134,SUP_0158,PROD_0017,Truck,956,2205,537.53,23.66,6,6,6,True,0,3157324.34
SHIP_000135,SUP_0112,PROD_0081,Truck,720,434,366.39,45.84,6,6,8,True,0,555299.34
SHIP_000136,SUP_0149,PROD_0023,Truck,232,1313,450.91,59.76,1,1,2,True,0,235542.37
SHIP_000137,SUP_0046,PROD_0012,Intermodal,363,1723,380.83,38.86,9,9,11,True,0,1485830.37
SHIP_000138,SUP_0071,PROD_0053,Truck,811,1737,481.29,39.22,1,1,3,False,0,765189.39
SHIP_000139,SUP_0151,PROD_0052,Ship,775,1230,138.5,8.12,21,21,23,True,0,1157893.41
SHIP_000140,SUP_0148,PROD_0063,Truck,437,1342,343.86,19.6,3,3,6,True,1,688433.2
SHIP_000141,SUP_0160,PROD_0069,Air,304,566,223.36,10.84,2,2,4,True,0,122903.26
SHIP_000142,SUP_0110,PROD_0086,Truck,989,1911,155.33,19.01,6,6,9,True,0,1858315.0
SHIP_000143,SUP_0018,PROD_0003,Rail,61,992,186.92,20.63,10,10,10,True,0,104839.36
SHIP_000144,SUP_0095,PROD_0072,Rail,510,1602,136.13,12.71,12,12,14,True,0,539719.32
SHIP_000145,SUP_0041,PROD_0053,Rail,320,1987,185.08,18.46,6,6,5,True,0,1361627.42
SHIP_000146,SUP_0123,PROD_0014,Rail,636,1722,220.77,12.08,13,13,16,False,0,2182135.67
SHIP_000147,SUP_0144,PROD_0075,Truck,119,1887,493.42,29.59,6,6,7,True,0,144705.19
SHIP_000148,SUP_0003,PROD_0041,Rail,105,954,323.19,33.47,11,11,13,True,0,133950.99
SHIP_000149,SUP_0053,PROD_0003,Truck,132,2310,509.49,25.42,1,1,3,True,0,655370.65
SHIP_000150,SUP_0026,PROD_0090,Truck,513,2407,535.0,24.06,5,5,6,True,0,2462012.39
SHIP_000151,SUP_0013,PROD_0085,Rail,258,2406,194.68,12.34,11,11,13,True,0,1079503.89
SHIP_000152,SUP_0066,PROD_0066,Rail,366,1219,331.82,16.3,7,7,10,True,0,303373.2
SHIP_000153,SUP_0110,PROD_0004,Rail,862,2404,250.68,21.05,9,9,11,True,0,1393708.56
SHIP_000154,SUP_0186,PROD_0069,Truck,172,2996,454.54,49.22,3,3,2,True,0,992126.49
SHIP_000155,SUP_0132,PROD_0077,Truck,733,1678,557.18,25.57,4,4,6,True,0,1933120.9
SHIP_000156,SUP_0067,PROD_0010,Ship,386,1113,209.13,21.99,36,36,38,True,0,1060494.81
SHIP_000157,SUP_0085,PROD_0024,Truck,388,2394,232.44,13.0,6,6,8,True,0,1287285.4
SHIP_000158,SUP_0160,PROD_0039,Rail,535,1584,111.61,8.84,11,11,12,True,0,1294157.48
SHIP_000159,SUP_0128,PROD_0041,Rail,435,1861,191.54,8.69,10,10,10,True,0,689548.95
SHIP_000160,SUP_0007,PROD_0012,Truck,111,839,272.07,32.36,3,3,2,True,0,222224.29
SHIP_000161,SUP_0083,PROD_0076,Rail,754,1782,219.15,10.48,7,7,8,True,0,962640.51
SHIP_000162,SUP_0097,PROD_0035,Air,15,1271,510.05,66.08,1,1,3,True,0,38456.82
SHIP_000163,SUP_0104,PROD_0048,Ship,570,714,124.75,11.35,22,22,22,True,0,330487.71
SHIP_000164,SUP_0014,PROD_0051,Ship,202,1713,106.77,9.36,25,25,24,True,0,535323.94
SHIP_000165,SUP_0015,PROD_0006,Air,751,2257,649.66,66.34,1,1,0,True,0,2566736.72
SHIP_000166,SUP_0004,PROD_0002,Truck,918,507,419.67,35.14,1,1,4,True,0,984365.66
SHIP_000167,SUP_0104,PROD_0007,Air,494,214,649.34,74.15,1,1,4,False,0,154443.8
SHIP_000168,SUP_0125,PROD_0060,Ship,883,2384,137.63,14.26,36,36,35,True,0,5178134.57
SHIP_000169,SUP_0190,PROD_0084,Air,100,2180,823.36,84.67,2,2,1,True,0,390185.25
SHIP_000170,SUP_0133,PROD_0070,Truck,506,1248,281.18,27.37,3,3,4,True,0,1342301.37
SHIP_000171,SUP_0152,PROD_0092,Ship,900,1235,122.3,12.24,34,34,36,False,0,2520873.29
SHIP_000172,SUP_0186,PROD_0025,Truck,53,1561,573.33,73.91,2,2,4,True,0,114278.28
SHIP_000173,SUP_0067,PROD_0039,Air,194,142,619.34,45.41,1,1,2,True,0,61631.52
SHIP_000174,SUP_0059,PROD_0083,Truck,258,1187,259.79,29.3,2,2,3,True,0,374533.01
SHIP_000175,SUP_0020,PROD_0054,Truck,687,2590,312.57,14.38,1,1,0,True,0,1051512.13
SHIP_000176,SUP_0195,PROD_0087,Ship,832,2012,205.78,16.72,36,36,35,True,0,4026279.74
SHIP_000177,SUP_0124,PROD_0031,Ship,199,873,161.55,10.17,28,28,28,False,0,301258.23
SHIP_000178,SUP_0028,PROD_0088,Truck,943,700,120.92,14.51,6,6,6,True,0,683928.19
SHIP_000179,SUP_0071,PROD_0099,Truck,810,99,355.09,49.59,2,2,1,True,0,71412.12
SHIP_000180,SUP_0021,PROD_0036,Rail,198,2427,346.67,26.03,13,13,14,True,0,353042.4
SHIP_000181,SUP_0138,PROD_0069,Air,431,2316,340.54,31.44,1,1,3,True,2,744459.53
SHIP_000182,SUP_0106,PROD_0011,Truck,531,2130,361.8,18.18,1,1,1,True,0,2191075.78
SHIP_000183,SUP_0153,PROD_0067,Rail,752,2285,167.41,14.69,5,5,6,True,0,3481022.21
SHIP_000184,SUP_0142,PROD_0054,Truck,183,2897,350.52,23.46,5,5,5,True,0,744647.71
SHIP_000185,SUP_0107,PROD_0021,Ship,879,2194,235.83,23.31,30,30,29,True,0,3076569.49
SHIP_000186,SUP_0131,PROD_0033,Truck,766,2272,603.65,34.58,4,4,7,True,0,3396921.58
SHIP_000187,SUP_0118,PROD_0012,Rail,984,1483,309.5,37.78,6,6,7,True,0,822165.15
SHIP_000188,SUP_0108,PROD_0036,Ship,196,1735,132.23,8.34,22,22,23,True,0,436191.94
SHIP_000189,SUP_0181,PROD_0043,Ship,194,1790,173.78,10.92,14,14,16,True,0,611487.13
SHIP_000190,SUP_0062,PROD_0005,Truck,665,981,498.17,42.63,5,5,6,True,0,1340178.74
SHIP_000191,SUP_0141,PROD_0084,Intermodal,758,1991,181.04,16.77,8,8,11,True,0,3651669.98
SHIP_000192,SUP_0048,PROD_0012,Truck,664,1959,266.22,20.69,3,3,5,True,0,993241.31
SHIP_000193,SUP_0198,PROD_0095,Truck,771,1992,543.5,44.57,5,5,6,True,0,2072438.18
SHIP_000194,SUP_0115,PROD_0028,Truck,782,1224,160.39,20.9,2,2,4,True,0,2353751.42
SHIP_000195,SUP_0058,PROD_0002,Truck,654,1538,372.91,20.83,1,1,1,True,0,2386368.23
SHIP_000196,SUP_0068,PROD_0055,Air,956,1992,287.0,30.29,2,2,2,True,0,1031872.11
SHIP_000197,SUP_0111,PROD_0072,Truck,28,305,507.79,54.12,3,3,6,True,0,9641.37
SHIP_000198,SUP_0024,PROD_0035,Truck,81,1613,436.75,33.81,5,5,6,True,0,163832.1
SHIP_000199,SUP_0031,PROD_0005,Truck,759,778,532.99,72.12,6,6,9,True,1,316393.97
SHIP_000200,SUP_0074,PROD_0084,Rail,422,600,120.92,7.14,6,6,7,True,0,338039.35
SHIP_000201,SUP_0011,PROD_0034,Ship,214,2579,177.51,15.57,39,39,41,True,0,373936.21
SHIP_000202,SUP_0116,PROD_0033,Ship,282,1886,202.9,11.08,24,24,24,False,0,713472.95
SHIP_000203,SUP_0104,PROD_0007,Truck,843,428,482.09,44.81,5,5,5,True,0,505185.54
SHIP_000204,SUP_0028,PROD_0069,Air,322,1890,560.44,64.01,2,2,1,False,1,763926.04
SHIP_000205,SUP_0017,PROD_0065,Truck,173,913,232.59,31.45,2,2,5,True,0,236225.52
SHIP_000206,SUP_0107,PROD_0081,Ship,794,2875,123.75,10.02,33,33,34,True,0,2468580.24
SHIP_000207,SUP_0014,PROD_0100,Intermodal,894,1341,314.87,31.65,11,11,14,True,0,2377447.75
SHIP_000208,SUP_0173,PROD_0044,Intermodal,835,741,248.57,32.74,12,12,14,True,0,436526.17
SHIP_000209,SUP_0106,PROD_0065,Truck,936,655,156.46,19.16,5,5,8,True,0,1348414.01
SHIP_000210,SUP_0110,PROD_0044,Air,324,936,609.34,73.99,1,1,0,True,0,251592.78
SHIP_000211,SUP_0061,PROD_0013,Rail,963,823,138.0,13.27,11,11,11,True,1,1506445.59
SHIP_000212,SUP_0063,PROD_0098,Truck,141,1920,133.25,13.41,5,5,6,True,0,285235.3
SHIP_000213,SUP_0079,PROD_0029,Truck,745,447,231.29,27.0,5,5,8,True,0,779874.55
SHIP_000214,SUP_0005,PROD_0036,Truck,78,2353,453.34,23.68,3,3,3,True,0,405603.6
SHIP_000215,SUP_0115,PROD_0007,Truck,930,2816,587.08,64.67,2,2,1,True,0,3738487.58
SHIP_000216,SUP_0093,PROD_0052,Truck,545,1045,383.87,24.96,2,2,4,True,0,587217.49
SHIP_000217,SUP_0126,PROD_0021,Air,883,2253,615.78,59.38,1,1,3,True,1,4271940.63
SHIP_000218,SUP_0054,PROD_0018,Truck,406,503,428.93,38.04,3,3,5,False,0,144933.36
SHIP_000219,SUP_0084,PROD_0051,Rail,786,1789,316.47,25.69,10,10,13,True,0,2926374.46
SHIP_000220,SUP_0194,PROD_0099,Air,760,764,447.5,31.64,2,2,5,True,0,1116594.24
SHIP_000221,SUP_0178,PROD_0026,Truck,550,2730,326.17,22.9,3,3,3,True,0,2278934.42
SHIP_000222,SUP_0186,PROD_0070,Air,162,2728,937.88,80.95,2,2,2,True,0,639306.41
SHIP_000223,SUP_0014,PROD_0002,Ship,258,903,123.68,16.58,28,28,31,True,1,500460.65
SHIP_000224,SUP_0083,PROD_0062,Truck,167,1686,382.62,47.12,2,2,3,False,0,497811.3
SHIP_000225,SUP_0016,PROD_0096,Air,511,249,321.48,42.93,2,2,2,True,0,226316.29
SHIP_000226,SUP_0006,PROD_0093,Truck,190,2224,609.93,44.5,3,3,3,False,1,675222.87
SHIP_000227,SUP_0172,PROD_0090,Air,916,1174,667.99,37.25,1,1,3,True,0,1672920.6
SHIP_000228,SUP_0099,PROD_0001,Rail,863,2806,169.09,7.73,6,6,9,True,0,2792847.28
SHIP_000229,SUP_0181,PROD_0086,Intermodal,195,468,252.65,13.92,12,12,15,True,0,111973.05
SHIP_000230,SUP_0055,PROD_0011,Rail,674,2390,138.03,15.29,11,11,14,True,0,1007075.93
SHIP_000231,SUP_0119,PROD_0005,Air,710,1324,876.87,76.01,1,1,1,True,0,1473391.84
SHIP_000232,SUP_0120,PROD_0005,Truck,215,1486,217.49,15.17,6,6,5,True,0,686620.08
SHIP_000233,SUP_0009,PROD_0030,Truck,271,2893,419.89,35.2,6,6,8,True,0,811657.83
SHIP_000234,SUP_0164,PROD_0068,Truck,840,1843,521.55,54.24,4,4,7,True,0,3529978.39
SHIP_000235,SUP_0068,PROD_0057,Rail,438,1359,226.61,17.69,9,9,9,True,0,1195550.48
SHIP_000236,SUP_0128,PROD_0076,Intermodal,81,1492,416.06,28.17,15,15,15,True,0,229829.0
SHIP_000237,SUP_0099,PROD_0056,Truck,442,1634,387.61,44.01,6,6,5,True,0,748512.03
SHIP_000238,SUP_0097,PROD_0001,Air,897,388,255.26,28.61,2,2,5,True,0,776226.92
SHIP_000239,SUP_0126,PROD_0095,Truck,139,219,350.87,39.6,2,2,1,True,0,17872.03
SHIP_000240,SUP_0024,PROD_0069,Rail,998,1849,244.85,16.25,10,10,13,True,0,2458508.1
SHIP_000241,SUP_0187,PROD_0074,Ship,274,1013,180.55,11.14,35,35,36,True,0,541398.18
SHIP_000242,SUP_0140,PROD_0038,Truck,526,1253,528.02,31.49,5,5,4,True,1,1073179.17
SHIP_000243,SUP_0164,PROD_0067,Air,139,2245,605.92,70.2,2,2,2,True,0,281765.94
SHIP_000244,SUP_0066,PROD_0076,Ship,462,374,197.15,23.29,42,42,41,False,0,120771.58
SHIP_000245,SUP_0085,PROD_0079,Truck,257,1050,242.5,25.71,6,6,8,True,0,158200.95
SHIP_000246,SUP_0036,PROD_0069,Truck,291,620,431.96,50.16,6,6,8,True,1,240284.48
SHIP_000247,SUP_0106,PROD_0063,Rail,242,2612,278.29,16.89,8,8,10,True,1,1406479.04
SHIP_000248,SUP_0014,PROD_0094,Truck,310,376,380.64,31.21,5,5,4,True,0,224024.03
SHIP_000249,SUP_0069,PROD_0099,Intermodal,665,1727,308.27,35.9,17,17,17,True,0,707129.08
SHIP_000250,SUP_0162,PROD_0082,Ship,298,1461,142.53,14.68,34,34,37,True,0,807477.54
SHIP_000251,SUP_0041,PROD_0072,Truck,657,2269,365.63,36.54,6,6,5,True,0,3117673.89
SHIP_000252,SUP_0133,PROD_0057,Truck,228,2898,581.63,50.0,4,4,4,True,0,1082566.44
SHIP_000253,SUP_0127,PROD_0032,Truck,854,1752,218.89,21.15,3,3,3,True,0,1852782.57
SHIP_000254,SUP_0178,PROD_0049,Truck,263,2539,458.59,23.43,6,6,6,True,0,716676.03
SHIP_000255,SUP_0191,PROD_0064,Truck,44,2320,173.41,16.73,2,2,5,True,0,143684.4
