date,product_id,product_category,stock_level,safety_stock,reorder_point,max_stock,unit_cost,carrying_cost_percent,demand_variance,supplier_id
2024-09-03,PROD_0036,Industrial,743,111,222,1337,136.67,0.16,0.392,SUP_0061
2024-09-03,PROD_0037,Consumer_Goods,298,44,89,536,141.22,0.276,0.433,SUP_0038
2024-09-03,PROD_0038,Automotive,763,114,228,1373,22.82,0.302,0.248,SUP_0016
2024-09-03,PROD_0039,Healthcare,288,43,86,518,160.04,0.184,0.164,SUP_0181
2024-09-03,PROD_0040,Industrial,360,54,108,648,135.2,0.219,0.324,SUP_0007
2024-09-03,PROD_0041,Healthcare,495,74,148,891,122.38,0.334,0.217,SUP_0053
2024-09-03,PROD_0042,Industrial,322,48,96,579,174.2,0.245,0.304,SUP_0086
2024-09-03,PROD_0043,Consumer_Goods,826,123,247,1486,193.46,0.202,0.122,SUP_0112
2024-09-03,PROD_0044,Consumer_Goods,176,26,52,316,78.0,0.348,0.154,SUP_0013
2024-09-03,PROD_0045,Consumer_Goods,749,112,224,1348,134.42,0.15,0.157,SUP_0069
2024-09-03,PROD_0046,Industrial,1178,176,353,2120,165.25,0.269,0.171,SUP_0137
2024-09-03,PROD_0047,Consumer_Goods,794,119,238,1429,20.29,0.222,0.16,SUP_0061
2024-09-03,PROD_0048,Automotive,986,147,295,1774,60.16,0.302,0.255,SUP_0020
2024-09-03,PROD_0049,Electronics,872,130,261,1569,79.02,0.314,0.403,SUP_0038
2024-09-03,PROD_0050,Industrial,576,86,172,1036,193.79,0.336,0.428,SUP_0087
2024-09-03,PROD_0051,Consumer_Goods,746,111,223,1342,192.18,0.329,0.311,SUP_0131
2024-09-03,PROD_0052,Consumer_Goods,1136,170,340,2044,44.2,0.338,0.183,SUP_0029
2024-09-03,PROD_0053,Healthcare,242,36,72,435,71.13,0.25,0.211,SUP_0200
2024-09-03,PROD_0054,Industrial,577,86,173,1038,48.11,0.229,0.327,SUP_0047
2024-09-03,PROD_0055,Industrial,1103,165,330,1985,175.08,0.186,0.355,SUP_0197
2024-09-03,PROD_0056,Automotive,866,129,259,1558,173.61,0.3,0.107,SUP_0191
2024-09-03,PROD_0057,Healthcare,361,54,108,649,152.85,0.273,0.109,SUP_0032
2024-09-03,PROD_0058,Healthcare,1019,152,305,1834,16.18,0.283,0.354,SUP_0114
2024-09-03,PROD_0059,Automotive,705,105,211,1269,48.39,0.23,0.382,SUP_0008
2024-09-03,PROD_0060,Electronics,638,95,191,1148,42.35,0.346,0.167,SUP_0100
2024-09-03,PROD_0061,Industrial,97,14,29,174,68.03,0.301,0.314,SUP_0128
2024-09-03,PROD_0062,Industrial,275,41,82,495,90.8,0.213,0.291,SUP_0081
2024-09-03,PROD_0063,Healthcare,456,68,136,820,149.71,0.34,0.117,SUP_0016
2024-09-03,PROD_0064,Healthcare,791,118,237,1423,190.01,0.184,0.219,SUP_0084
2024-09-03,PROD_0065,Consumer_Goods,1366,204,409,2458,179.28,0.244,0.132,SUP_0102
2024-09-03,PROD_0066,Automotive,532,79,159,957,107.12,0.257,0.405,SUP_0072
2024-09-03,PROD_0067,Electronics,931,139,279,1675,18.02,0.344,0.125,SUP_0198
2024-09-03,PROD_0068,Consumer_Goods,794,119,238,1429,122.33,0.234,0.243,SUP_0102
2024-09-03,PROD_0069,Electronics,846,126,253,1522,54.83,0.312,0.198,SUP_0093
2024-09-03,PROD_0070,Electronics,1314,197,394,2365,176.09,0.303,0.362,SUP_0177
2024-09-03,PROD_0071,Healthcare,141,21,42,253,23.6,0.319,0.256,SUP_0167
2024-09-03,PROD_0072,Electronics,280,42,84,504,18.57,0.226,0.307,SUP_0070
2024-09-03,PROD_0073,Industrial,293,43,87,527,182.31,0.219,0.15,SUP_0180
2024-09-03,PROD_0074,Automotive,501,75,150,901,196.59,0.311,0.216,SUP_0173
2024-09-03,PROD_0075,Industrial,382,57,114,687,117.73,0.167,0.23,SUP_0146
2024-09-03,PROD_0076,Industrial,1076,161,322,1936,146.92,0.209,0.25,SUP_0116
2024-09-03,PROD_0077,Electronics,813,121,243,1463,147.79,0.31,0.399,SUP_0198
2024-09-03,PROD_0078,Healthcare,769,115,230,1384,74.17,0.255,0.365,SUP_0076
2024-09-03,PROD_0079,Electronics,185,27,55,333,83.63,0.35,0.289,SUP_0019
2024-09-03,PROD_0080,Automotive,161,24,48,289,185.41,0.329,0.224,SUP_0103
2024-09-03,PROD_0081,Automotive,869,130,260,1564,18.53,0.279,0.291,SUP_0069
2024-09-03,PROD_0082,Healthcare,978,146,293,1760,67.12,0.189,0.248,SUP_0124
2024-09-03,PROD_0083,Industrial,319,47,95,574,94.6,0.174,0.411,SUP_0005
2024-09-03,PROD_0084,Healthcare,964,144,289,1735,86.64,0.202,0.361,SUP_0128
2024-09-03,PROD_0085,Automotive,124,18,37,223,26.11,0.186,0.256,SUP_0023
2024-09-03,PROD_0086,Electronics,1052,157,315,1893,139.53,0.17,0.333,SUP_0092
2024-09-03,PROD_0087,Consumer_Goods,626,93,187,1126,199.96,0.253,0.444,SUP_0189
2024-09-03,PROD_0088,Industrial,546,81,163,982,50.45,0.277,0.17,SUP_0017
2024-09-03,PROD_0089,Automotive,1125,168,337,2025,107.81,0.349,0.292,SUP_0075
2024-09-03,PROD_0090,Consumer_Goods,877,131,263,1578,184.21,0.289,0.365,SUP_0181
2024-09-03,PROD_0091,Healthcare,106,15,31,190,153.38,0.332,0.388,SUP_0192
2024-09-03,PROD_0092,Automotive,435,65,130,783,61.75,0.239,0.331,SUP_0078
2024-09-03,PROD_0093,Healthcare,244,36,73,439,52.22,0.192,0.284,SUP_0075
2024-09-03,PROD_0094,Automotive,350,52,105,630,127.99,0.244,0.251,SUP_0123
2024-09-03,PROD_0095,Consumer_Goods,1507,226,452,2712,53.13,0.261,0.244,SUP_0005
2024-09-03,PROD_0096,Automotive,716,107,214,1288,93.64,0.297,0.246,SUP_0060
2024-09-03,PROD_0097,Automotive,1230,184,369,2214,190.37,0.235,0.24,SUP_0187
2024-09-03,PROD_0098,Automotive,257,38,77,462,139.14,0.302,0.366,SUP_0050
2024-09-03,PROD_0099,Electronics,772,115,231,1389,172.56,0.16,0.372,SUP_0041
2024-09-03,PROD_0100,Healthcare,525,78,157,945,135.7,0.193,0.132,SUP_0005
2024-09-04,PROD_0001,Automotive,962,144,288,1731,104.92,0.152,0.296,SUP_0200
2024-09-04,PROD_0002,Industrial,889,133,266,1600,110.24,0.278,0.178,SUP_0158
2024-09-04,PROD_0003,Automotive,1594,239,478,2869,40.31,0.344,0.108,SUP_0083
2024-09-04,PROD_0004,Automotive,1291,193,387,2323,195.4,0.226,0.282,SUP_0102
2024-09-04,PROD_0005,Electronics,604,90,181,1087,123.77,0.169,0.147,SUP_0036
2024-09-04,PROD_0006,Consumer_Goods,939,140,281,1690,195.63,0.327,0.41,SUP_0041
2024-09-04,PROD_0007,Industrial,571,85,171,1027,81.24,0.306,0.119,SUP_0034
2024-09-04,PROD_0008,Electronics,907,136,272,1632,78.55,0.208,0.302,SUP_0178
2024-09-04,PROD_0009,Automotive,1508,226,452,2714,199.11,0.331,0.35,SUP_0089
2024-09-04,PROD_0010,Consumer_Goods,863,129,258,1553,68.85,0.317,0.213,SUP_0111
2024-09-04,PROD_0011,Consumer_Goods,228,34,68,410,83.74,0.235,0.178,SUP_0171
2024-09-04,PROD_0012,Consumer_Goods,1207,181,362,2172,111.01,0.223,0.358,SUP_0186
2024-09-04,PROD_0013,Automotive,414,62,124,745,34.53,0.217,0.259,SUP_0018
2024-09-04,PROD_0014,Industrial,365,54,109,657,64.63,0.227,0.201,SUP_0156
2024-09-04,PROD_0015,Healthcare,201,30,60,361,164.39,0.235,0.189,SUP_0092
2024-09-04,PROD_0016,Automotive,1267,190,380,2280,91.87,0.197,0.237,SUP_0139
2024-09-04,PROD_0017,Industrial,155,23,46,279,65.67,0.31,0.101,SUP_0086
2024-09-04,PROD_0018,Electronics,1068,160,320,1922,88.25,0.201,0.337,SUP_0089
2024-09-04,PROD_0019,Electronics,607,91,182,1092,199.84,0.261,0.17,SUP_0166
2024-09-04,PROD_0020,Healthcare,599,89,179,1078,120.92,0.226,0.376,SUP_0133
2024-09-04,PROD_0021,Automotive,154,23,46,277,66.83,0.338,0.284,SUP_0137
2024-09-04,PROD_0022,Automotive,793,118,237,1427,162.54,0.271,0.132,SUP_0127
2024-09-04,PROD_0023,Healthcare,772,115,231,1389,13.35,0.258,0.24,SUP_0167
2024-09-04,PROD_0024,Consumer_Goods,455,68,136,819,15.16,0.199,0.31,SUP_0001
2024-09-04,PROD_0025,Automotive,968,145,290,1742,130.09,0.254,0.136,SUP_0180
2024-09-04,PROD_0026,Electronics,817,122,245,1470,192.18,0.339,0.228,SUP_0014
2024-09-04,PROD_0027,Consumer_Goods,306,45,91,550,73.0,0.152,0.153,SUP_0173
2024-09-04,PROD_0028,Industrial,523,78,156,941,35.83,0.154,0.422,SUP_0039
2024-09-04,PROD_0029,Automotive,896,134,268,1612,122.39,0.341,0.12,SUP_0079
2024-09-04,PROD_0030,Healthcare,1368,205,410,2462,101.68,0.215,0.227,SUP_0119
2024-09-04,PROD_0031,Industrial,324,48,97,583,139.57,0.209,0.341,SUP_0026
2024-09-04,PROD_0032,Consumer_Goods,664,99,199,1195,195.03,0.26,0.115,SUP_0046
2024-09-04,PROD_0033,Industrial,622,93,186,1119,85.25,0.224,0.409,SUP_0136
2024-09-04,PROD_0034,Healthcare,347,52,104,624,194.94,0.19,0.187,SUP_0147
2024-09-04,PROD_0035,Automotive,664,99,199,1195,86.71,0.306,0.239,SUP_0050
2024-09-04,PROD_0036,Consumer_Goods,763,114,228,1373,90.97,0.206,0.428,SUP_0180
2024-09-04,PROD_0037,Automotive,945,141,283,1701,23.32,0.298,0.164,SUP_0079
2024-09-04,PROD_0038,Industrial,337,50,101,606,54.98,0.162,0.397,SUP_0076
2024-09-04,PROD_0039,Consumer_Goods,296,44,88,532,56.66,0.315,0.268,SUP_0135
2024-09-04,PROD_0040,Consumer_Goods,627,94,188,1128,68.39,0.344,0.442,SUP_0013
2024-09-04,PROD_0041,Automotive,764,114,229,1375,78.13,0.215,0.145,SUP_0029
2024-09-04,PROD_0042,Industrial,938,140,281,1688,141.6,0.179,0.278,SUP_0001
2024-09-04,PROD_0043,Industrial,126,18,37,226,179.73,0.27,0.122,SUP_0154
2024-09-04,PROD_0044,Consumer_Goods,325,48,97,585,178.39,0.232,0.362,SUP_0126
2024-09-04,PROD_0045,Automotive,97,14,29,174,84.56,0.284,0.441,SUP_0095
2024-09-04,PROD_0046,Consumer_Goods,1359,203,407,2446,27.31,0.205,0.231,SUP_0140
2024-09-04,PROD_0047,Healthcare,287,43,86,516,13.04,0.276,0.156,SUP_0142
2024-09-04,PROD_0048,Electronics,523,78,156,941,75.78,0.158,0.333,SUP_0034
2024-09-04,PROD_0049,Automotive,427,64,128,768,93.67,0.314,0.131,SUP_0122
2024-09-04,PROD_0050,Automotive,870,130,261,1566,192.79,0.344,0.193,SUP_0056
2024-09-04,PROD_0051,Industrial,116,17,34,208,93.54,0.159,0.204,SUP_0168
2024-09-04,PROD_0052,Industrial,847,127,254,1524,154.58,0.291,0.134,SUP_0016
2024-09-04,PROD_0053,Automotive,1084,162,325,1951,48.84,0.221,0.311,SUP_0150
2024-09-04,PROD_0054,Industrial,1365,204,409,2457,63.74,0.231,0.176,SUP_0010
2024-09-04,PROD_0055,Healthcare,1132,169,339,2037,55.05,0.234,0.407,SUP_0106
2024-09-04,PROD_0056,Healthcare,771,115,231,1387,61.62,0.196,0.344,SUP_0077
2024-09-04,PROD_0057,Automotive,423,63,126,761,143.34,0.215,0.129,SUP_0040
2024-09-04,PROD_0058,Healthcare,237,35,71,426,81.09,0.269,0.118,SUP_0193
2024-09-04,PROD_0059,Healthcare,819,122,245,1474,15.46,0.282,0.134,SUP_0027
2024-09-04,PROD_0060,Healthcare,1130,169,339,2034,104.77,0.312,0.432,SUP_0114
2024-09-04,PROD_0061,Electronics,984,147,295,1771,112.86,0.263,0.378,SUP_0192
2024-09-04,PROD_0062,Healthcare,970,145,291,1746,194.68,0.158,0.277,SUP_0143
2024-09-04,PROD_0063,Industrial,782,117,234,1407,19.46,0.28,0.194,SUP_0135
2024-09-04,PROD_0064,Industrial,546,81,163,982,92.68,0.298,0.169,SUP_0040
2024-09-04,PROD_0065,Industrial,278,41,83,500,107.39,0.298,0.27,SUP_0138
2024-09-04,PROD_0066,Industrial,1229,184,368,2212,182.14,0.329,0.408,SUP_0083
2024-09-04,PROD_0067,Electronics,826,123,247,1486,122.11,0.227,0.218,SUP_0199
2024-09-04,PROD_0068,Electronics,178,26,53,320,158.32,0.312,0.167,SUP_0060
2024-09-04,PROD_0069,Industrial,1036,155,310,1864,186.52,0.209,0.43,SUP_0098
2024-09-04,PROD_0070,Healthcare,596,89,178,1072,97.79,0.285,0.124,SUP_0116
2024-09-04,PROD_0071,Healthcare,346,51,103,622,32.01,0.34,0.167,SUP_0021
2024-09-04,PROD_0072,Industrial,158,23,47,284,17.69,0.164,0.141,SUP_0088
2024-09-04,PROD_0073,Healthcare,532,79,159,957,66.94,0.278,0.217,SUP_0166
2024-09-04,PROD_0074,Electronics,272,40,81,489,78.31,0.221,0.123,SUP_0037
2024-09-04,PROD_0075,Industrial,1426,213,427,2566,39.98,0.222,0.145,SUP_0079
2024-09-04,PROD_0076,Healthcare,614,92,184,1105,124.53,0.232,0.213,SUP_0189
2024-09-04,PROD_0077,Consumer_Goods,258,38,77,464,169.39,0.306,0.355,SUP_0017
2024-09-04,PROD_0078,Healthcare,404,60,121,727,144.2,0.222,0.434,SUP_0140
2024-09-04,PROD_0079,Electronics,1048,157,314,1886,171.23,0.305,0.439,SUP_0087
2024-09-04,PROD_0080,Consumer_Goods,764,114,229,1375,39.34,0.295,0.447,SUP_0054
2024-09-04,PROD_0081,Healthcare,939,140,281,1690,27.28,0.305,0.279,SUP_0116
2024-09-04,PROD_0082,Electronics,1028,154,308,1850,113.77,0.188,0.414,SUP_0001
2024-09-04,PROD_0083,Consumer_Goods,565,84,169,1017,161.21,0.304,0.341,SUP_0129
2024-09-04,PROD_0084,Industrial,1260,189,378,2268,198.56,0.312,0.23,SUP_0011
2024-09-04,PROD_0085,Healthcare,969,145,290,1744,37.52,0.323,0.191,SUP_0097
2024-09-04,PROD_0086,Industrial,984,147,295,1771,121.53,0.269,0.362,SUP_0114
2024-09-04,PROD_0087,Industrial,636,95,190,1144,149.59,0.317,0.357,SUP_0055
2024-09-04,PROD_0088,Electronics,443,66,132,797,97.92,0.264,0.258,SUP_0161
2024-09-04,PROD_0089,Automotive,953,142,285,1715,43.96,0.247,0.291,SUP_0070
2024-09-04,PROD_0090,Consumer_Goods,304,45,91,547,68.09,0.296,0.112,SUP_0195
2024-09-04,PROD_0091,Automotive,1114,167,334,2005,105.45,0.219,0.32,SUP_0052
2024-09-04,PROD_0092,Consumer_Goods,352,52,105,633,56.3,0.223,0.151,SUP_0042
2024-09-04,PROD_0093,Consumer_Goods,1196,179,358,2152,107.66,0.238,0.427,SUP_0144
2024-09-04,PROD_0094,Automotive,850,127,255,1530,40.74,0.258,0.202,SUP_0055
2024-09-04,PROD_0095,Automotive,1012,151,303,1821,80.84,0.236,0.27,SUP_0149
2024-09-04,PROD_0096,Healthcare,374,56,112,673,197.14,0.234,0.365,SUP_0153
2024-09-04,PROD_0097,Consumer_Goods,655,98,196,1179,173.5,0.256,0.332,SUP_0019
2024-09-04,PROD_0098,Industrial,617,92,185,1110,67.02,0.198,0.321,SUP_0129
2024-09-04,PROD_0099,Healthcare,584,87,175,1051,95.56,0.234,0.104,SUP_0181
2024-09-04,PROD_0100,Consumer_Goods,338,50,101,608,128.82,0.258,0.196,SUP_0195
2024-09-05,PROD_0001,Healthcare,766,114,229,1378,123.56,0.278,0.152,SUP_0185
2024-09-05,PROD_0002,Industrial,756,113,226,1360,170.82,0.244,0.248,SUP_0184
2024-09-05,PROD_0003,Industrial,991,148,297,1783,121.71,0.188,0.421,SUP_0080
2024-09-05,PROD_0004,Automotive,661,99,198,1189,188.09,0.158,0.105,SUP_0042
2024-09-05,PROD_0005,Healthcare,519,77,155,934,183.34,0.311,0.192,SUP_0090
2024-09-05,PROD_0006,Electronics,882,132,264,1587,129.11,0.291,0.15,SUP_0106
2024-09-05,PROD_0007,Consumer_Goods,1105,165,331,1989,134.86,0.213,0.228,SUP_0114
2024-09-05,PROD_0008,Consumer_Goods,883,132,264,1589,84.38,0.274,0.374,SUP_0017
2024-09-05,PROD_0009,Consumer_Goods,533,79,159,959,168.42,0.337,0.376,SUP_0073
2024-09-05,PROD_0010,Consumer_Goods,533,79,159,959,55.1,0.17,0.149,SUP_0159
2024-09-05,PROD_0011,Healthcare,153,22,45,275,18.35,0.298,0.355,SUP_0185
2024-09-05,PROD_0012,Electronics,805,120,241,1449,79.06,0.242,0.271,SUP_0038
2024-09-05,PROD_0013,Industrial,703,105,210,1265,61.75,0.183,0.155,SUP_0065
2024-09-05,PROD_0014,Electronics,1036,155,310,1864,20.52,0.343,0.442,SUP_0131
2024-09-05,PROD_0015,Consumer_Goods,792,118,237,1425,120.03,0.219,0.375,SUP_0108
2024-09-05,PROD_0016,Healthcare,254,38,76,457,112.93,0.184,0.31,SUP_0042
2024-09-05,PROD_0017,Consumer_Goods,401,60,120,721,177.02,0.244,0.222,SUP_0174
2024-09-05,PROD_0018,Industrial,135,20,40,243,97.46,0.162,0.339,SUP_0109
2024-09-05,PROD_0019,Electronics,844,126,253,1519,93.84,0.3,0.103,SUP_0094
2024-09-05,PROD_0020,Healthcare,721,108,216,1297,101.34,0.215,0.262,SUP_0008
2024-09-05,PROD_0021,Healthcare,122,18,36,219,122.75,0.234,0.257,SUP_0012
2024-09-05,PROD_0022,Consumer_Goods,955,143,286,1719,101.63,0.24,0.309,SUP_0062
2024-09-05,PROD_0023,Healthcare,580,87,174,1044,33.45,0.169,0.238,SUP_0054
2024-09-05,PROD_0024,Industrial,1394,209,418,2509,118.22,0.262,0.317,SUP_0026
2024-09-05,PROD_0025,Electronics,339,50,101,610,75.53,0.234,0.274,SUP_0086
2024-09-05,PROD_0026,Electronics,749,112,224,1348,62.31,0.239,0.13,SUP_0096
2024-09-05,PROD_0027,Industrial,395,59,118,711,51.06,0.176,0.396,SUP_0141
2024-09-05,PROD_0028,Automotive,166,24,49,298,116.31,0.264,0.356,SUP_0189
2024-09-05,PROD_0029,Industrial,105,15,31,189,48.09,0.279,0.383,SUP_0033
2024-09-05,PROD_0030,Healthcare,959,143,287,1726,118.46,0.263,0.261,SUP_0060
2024-09-05,PROD_0031,Industrial,1261,189,378,2269,125.51,0.227,0.24,SUP_0061
2024-09-05,PROD_0032,Electronics,808,121,242,1454,33.13,0.208,0.105,SUP_0026
2024-09-05,PROD_0033,Healthcare,502,75,150,903,143.18,0.299,0.315,SUP_0063
2024-09-05,PROD_0034,Electronics,948,142,284,1706,148.39,0.213,0.283,SUP_0098
2024-09-05,PROD_0035,Automotive,1004,150,301,1807,48.12,0.196,0.235,SUP_0126
2024-09-05,PROD_0036,Electronics,501,75,150,901,22.7,0.238,0.413,SUP_0007
2024-09-05,PROD_0037,Electronics,331,49,99,595,112.42,0.298,0.408,SUP_0025
2024-09-05,PROD_0038,Industrial,295,44,88,531,59.42,0.274,0.167,SUP_0152
2024-09-05,PROD_0039,Consumer_Goods,1272,190,381,2289,91.24,0.292,0.259,SUP_0176
2024-09-05,PROD_0040,Electronics,937,140,281,1686,93.39,0.233,0.26,SUP_0033
2024-09-05,PROD_0041,Healthcare,832,124,249,1497,101.15,0.213,0.385,SUP_0097
2024-09-05,PROD_0042,Consumer_Goods,591,88,177,1063,178.68,0.322,0.327,SUP_0175
2024-09-05,PROD_0043,Automotive,892,133,267,1605,44.0,0.251,0.201,SUP_0093
2024-09-05,PROD_0044,Electronics,1263,189,378,2273,143.27,0.157,0.436,SUP_0010
2024-09-05,PROD_0045,Electronics,99,14,29,178,163.17,0.179,0.384,SUP_0061
2024-09-05,PROD_0046,Consumer_Goods,539,80,161,970,98.61,0.287,0.215,SUP_0132
2024-09-05,PROD_0047,Consumer_Goods,414,62,124,745,90.3,0.223,0.246,SUP_0057
2024-09-05,PROD_0048,Industrial,869,130,260,1564,94.64,0.338,0.306,SUP_0117
2024-09-05,PROD_0049,Electronics,361,54,108,649,172.74,0.197,0.288,SUP_0069
2024-09-05,PROD_0050,Consumer_Goods,1011,151,303,1819,111.78,0.171,0.316,SUP_0105
2024-09-05,PROD_0051,Automotive,142,21,42,255,186.35,0.333,0.278,SUP_0128
2024-09-05,PROD_0052,Industrial,1017,152,305,1830,97.23,0.179,0.303,SUP_0008
2024-09-05,PROD_0053,Consumer_Goods,327,49,98,588,82.53,0.346,0.195,SUP_0138
2024-09-05,PROD_0054,Industrial,299,44,89,538,185.23,0.171,0.431,SUP_0136
2024-09-05,PROD_0055,Industrial,833,124,249,1499,155.57,0.224,0.145,SUP_0146
2024-09-05,PROD_0056,Consumer_Goods,581,87,174,1045,151.7,0.166,0.146,SUP_0115
2024-09-05,PROD_0057,Electronics,1237,185,371,2226,44.11,0.264,0.234,SUP_0174
2024-09-05,PROD_0058,Healthcare,1046,156,313,1882,138.37,0.218,0.4,SUP_0081
2024-09-05,PROD_0059,Industrial,450,67,135,810,130.55,0.177,0.38,SUP_0095
2024-09-05,PROD_0060,Healthcare,953,142,285,1715,118.67,0.207,0.244,SUP_0072
2024-09-05,PROD_0061,Healthcare,1402,210,420,2523,116.8,0.289,0.271,SUP_0136
2024-09-05,PROD_0062,Consumer_Goods,1399,209,419,2518,34.23,0.209,0.327,SUP_0021
2024-09-05,PROD_0063,Healthcare,125,18,37,225,133.16,0.33,0.112,SUP_0192
2024-09-05,PROD_0064,Industrial,1039,155,311,1870,19.91,0.234,0.228,SUP_0186
2024-09-05,PROD_0065,Healthcare,128,19,38,230,80.18,0.347,0.371,SUP_0042
2024-09-05,PROD_0066,Healthcare,806,120,241,1450,129.74,0.175,0.191,SUP_0192
2024-09-05,PROD_0067,Consumer_Goods,190,28,57,342,191.07,0.221,0.254,SUP_0081
2024-09-05,PROD_0068,Electronics,397,59,119,714,149.71,0.242,0.423,SUP_0165
2024-09-05,PROD_0069,Consumer_Goods,221,33,66,397,111.22,0.181,0.382,SUP_0104
2024-09-05,PROD_0070,Automotive,845,126,253,1521,152.74,0.304,0.417,SUP_0133
2024-09-05,PROD_0071,Consumer_Goods,1521,228,456,2737,186.9,0.24,0.381,SUP_0081
2024-09-05,PROD_0072,Electronics,272,40,81,489,40.92,0.195,0.351,SUP_0038
2024-09-05,PROD_0073,Consumer_Goods,410,61,123,738,134.18,0.214,0.22,SUP_0185
2024-09-05,PROD_0074,Electronics,765,114,229,1377,20.22,0.237,0.403,SUP_0123
2024-09-05,PROD_0075,Consumer_Goods,685,102,205,1233,81.21,0.178,0.428,SUP_0119
2024-09-05,PROD_0076,Healthcare,804,120,241,1447,144.94,0.156,0.126,SUP_0097
2024-09-05,PROD_0077,Electronics,352,52,105,633,61.89,0.264,0.441,SUP_0028
2024-09-05,PROD_0078,Industrial,449,67,134,808,38.75,0.19,0.198,SUP_0109
2024-09-05,PROD_0079,Automotive,910,136,273,1638,150.21,0.153,0.144,SUP_0150
2024-09-05,PROD_0080,Electronics,161,24,48,289,145.61,0.33,0.441,SUP_0076
2024-09-05,PROD_0081,Consumer_Goods,900,135,270,1620,162.12,0.215,0.42,SUP_0030
2024-09-05,PROD_0082,Healthcare,423,63,126,761,157.55,0.315,0.429,SUP_0178
2024-09-05,PROD_0083,Consumer_Goods,81,12,24,145,71.49,0.24,0.238,SUP_0128
2024-09-05,PROD_0084,Industrial,509,76,152,916,160.4,0.208,0.276,SUP_0103
2024-09-05,PROD_0085,Healthcare,1082,162,324,1947,87.02,0.175,0.382,SUP_0149
2024-09-05,PROD_0086,Automotive,929,139,278,1672,195.12,0.333,0.271,SUP_0055
2024-09-05,PROD_0087,Consumer_Goods,254,38,76,457,106.31,0.156,0.419,SUP_0182
2024-09-05,PROD_0088,Electronics,98,14,29,176,87.29,0.196,0.288,SUP_0066
2024-09-05,PROD_0089,Electronics,918,137,275,1652,75.93,0.164,0.35,SUP_0045
2024-09-05,PROD_0090,Electronics,293,43,87,527,140.8,0.278,0.407,SUP_0049
